epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1889,4.95894,4.94455,3.75604,0.00291,0.01023,0.00223,0.0006,4.55857,3.62402,3.26841,0.000236531,0.000236531,0.000236531
2,90.6705,3.63937,3.24756,2.44288,0.61702,0.01854,0.01252,0.00413,3.35416,2.94158,2.03512,0.000469833,0.000469833,0.000469833
3,134.144,3.20569,2.74933,2.0126,0.43185,0.02487,0.02586,0.01003,2.98748,2.3754,1.78244,0.000698423,0.000698423,0.000698423
4,174.47,2.91887,2.55688,1.78146,0.58307,0.04864,0.03923,0.01674,2.72053,2.20098,1.5835,0.000692794,0.000692794,0.000692794
5,216.051,2.7182,2.33381,1.63481,0.56225,0.05886,0.04301,0.018,2.79295,2.20009,1.51967,0.000685726,0.000685726,0.000685726
6,257.64,2.57846,2.2037,1.5221,0.58022,0.0608,0.05075,0.02172,2.56,2.00884,1.45652,0.000678657,0.000678657,0.000678657
7,298.973,2.5038,2.14808,1.47473,0.46781,0.07683,0.05403,0.0233,2.45477,1.98555,1.37938,0.000671588,0.000671588,0.000671588
8,338.489,2.40323,2.05452,1.42122,0.47943,0.0742,0.0592,0.02851,2.36375,1.88367,1.33174,0.00066452,0.00066452,0.00066452
9,379.704,2.30769,2.01546,1.38139,0.48585,0.07111,0.06062,0.02895,2.36596,1.86144,1.33213,0.000657451,0.000657451,0.000657451
10,421.134,2.25021,1.93826,1.33803,0.50967,0.09722,0.067,0.03241,2.26118,1.87926,1.30123,0.000650383,0.000650383,0.000650383
11,462.378,2.18609,1.89319,1.31083,0.49095,0.0991,0.06841,0.03241,2.26374,1.79401,1.29812,0.000643314,0.000643314,0.000643314
12,504.249,2.15395,1.82425,1.28932,0.54244,0.09537,0.0772,0.03913,2.14815,1.68236,1.24439,0.000636245,0.000636245,0.000636245
