epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5624,8.16371,10.1774,3.93948,0.0016,0.00655,0.00159,0.00041,8.04776,7.69037,3.58092,0.000236531,0.000236531,0.000236531
2,137.457,5.9378,6.56663,2.56908,0.21629,0.02313,0.00813,0.00233,5.63177,5.69091,2.18038,0.000469833,0.000469833,0.000469833
3,201.658,5.18414,5.58744,2.04986,0.13119,0.06471,0.02472,0.00844,4.9777,4.9168,1.8068,0.000698423,0.000698423,0.000698423
4,265.634,4.66836,5.09791,1.75411,0.46454,0.04547,0.0327,0.0126,4.46138,4.52166,1.63247,0.000692794,0.000692794,0.000692794
5,329.129,4.34719,4.8043,1.61118,0.58928,0.05134,0.04124,0.01558,4.27009,4.25692,1.52005,0.000685726,0.000685726,0.000685726
6,392.362,4.14132,4.55877,1.50562,0.58958,0.05649,0.04865,0.01962,4.03044,4.05377,1.44839,0.000678657,0.000678657,0.000678657
7,455.659,3.98466,4.36136,1.44026,0.57429,0.06709,0.053,0.02466,3.89382,3.89306,1.38028,0.000671588,0.000671588,0.000671588
8,519.16,3.82645,4.21848,1.39363,0.48812,0.07434,0.05964,0.02779,3.78329,3.78481,1.35352,0.00066452,0.00066452,0.00066452
9,582.657,3.7035,4.02411,1.34654,0.47974,0.06779,0.05133,0.02381,3.98258,3.93908,1.34417,0.000657451,0.000657451,0.000657451
10,646.135,3.62908,3.94513,1.31517,0.4844,0.08017,0.0613,0.02806,3.76809,3.83015,1.30469,0.000650383,0.000650383,0.000650383
11,710.942,3.54162,3.85862,1.29384,0.4899,0.09631,0.06981,0.03355,3.57529,3.60463,1.26318,0.000643314,0.000643314,0.000643314
12,775.22,3.47575,3.7819,1.26983,0.49386,0.10902,0.0709,0.03293,3.56529,3.56227,1.2424,0.000636245,0.000636245,0.000636245
13,838.582,3.40761,3.6895,1.25674,0.4188,0.09811,0.07233,0.03782,3.52841,3.92219,1.22463,0.000629177,0.000629177,0.000629177
14,902.044,3.36149,3.61756,1.23314,0.53237,0.09959,0.08356,0.04043,3.48634,3.37599,1.22058,0.000622108,0.000622108,0.000622108
15,966.026,3.32544,3.57635,1.23113,0.53341,0.11492,0.08957,0.04489,3.34163,3.32323,1.2189,0.00061504,0.00061504,0.00061504
16,1030.17,3.2753,3.51616,1.21958,0.39829,0.11277,0.0835,0.04217,3.40579,3.56881,1.20123,0.000607971,0.000607971,0.000607971
17,1096.54,3.24581,3.44651,1.20055,0.51309,0.10281,0.08817,0.04431,3.47096,3.37822,1.19327,0.000600902,0.000600902,0.000600902
18,1159.91,3.19275,3.398,1.19513,0.42912,0.12522,0.10087,0.05305,3.22063,3.1615,1.16714,0.000593834,0.000593834,0.000593834
19,1223.3,3.19225,3.39765,1.18698,0.25104,0.13595,0.09393,0.04834,3.22853,3.18092,1.16776,0.000586765,0.000586765,0.000586765
20,1286.73,3.14741,3.37234,1.1795,0.45014,0.1259,0.10807,0.05921,3.17108,3.07227,1.14138,0.000579697,0.000579697,0.000579697
21,1350.31,3.16635,3.33572,1.17035,0.45833,0.11978,0.0984,0.05088,3.16269,3.20401,1.14873,0.000572628,0.000572628,0.000572628
22,1413.83,3.15005,3.32575,1.16029,0.50116,0.12932,0.1132,0.06023,3.17589,3.02946,1.1503,0.000565559,0.000565559,0.000565559
23,1477.62,3.10512,3.2638,1.15191,0.51385,0.13472,0.12293,0.06529,3.08707,2.98607,1.14099,0.000558491,0.000558491,0.000558491
24,1541.33,3.08804,3.26524,1.15168,0.49447,0.13916,0.11803,0.06354,3.14934,3.04683,1.13385,0.000551422,0.000551422,0.000551422
25,1604.73,3.06897,3.23904,1.14931,0.36716,0.15783,0.12225,0.06409,3.06561,2.99982,1.12732,0.000544354,0.000544354,0.000544354
26,1668.01,3.10817,3.24864,1.15127,0.37712,0.15108,0.11873,0.06125,3.1142,3.02129,1.1237,0.000537285,0.000537285,0.000537285
27,1731.66,3.05785,3.16217,1.13332,0.36698,0.1404,0.11718,0.06059,3.10786,3.12043,1.123,0.000530216,0.000530216,0.000530216
28,1795.33,3.05977,3.17598,1.13129,0.51291,0.14459,0.12977,0.06833,3.09088,2.94177,1.11177,0.000523148,0.000523148,0.000523148
29,1859.18,3.04512,3.18356,1.12726,0.37308,0.14303,0.1242,0.06721,3.02565,2.96167,1.10256,0.000516079,0.000516079,0.000516079
30,1922.96,3.01544,3.14463,1.11655,0.44055,0.14039,0.1267,0.07062,3.09269,2.97788,1.11814,0.000509011,0.000509011,0.000509011
31,1986.67,2.99985,3.08493,1.10576,0.40307,0.15626,0.13437,0.07184,3.0369,2.89154,1.10128,0.000501942,0.000501942,0.000501942
32,2050.87,2.98878,3.10381,1.10767,0.41767,0.15454,0.13621,0.07352,2.96845,2.88556,1.08886,0.000494873,0.000494873,0.000494873
33,2114.52,2.95983,3.04486,1.1029,0.3894,0.14696,0.12757,0.06867,3.00252,2.88192,1.098,0.000487805,0.000487805,0.000487805
34,2177.85,2.91524,3.05513,1.09352,0.29114,0.15531,0.12788,0.06963,3.00548,2.96698,1.0938,0.000480736,0.000480736,0.000480736
35,2241.46,2.93685,3.04647,1.09525,0.44826,0.15006,0.13458,0.07135,2.93854,2.83946,1.085,0.000473668,0.000473668,0.000473668
36,2305.41,2.93407,3.0443,1.09929,0.3892,0.16083,0.13634,0.07204,2.97503,2.89393,1.07648,0.000466599,0.000466599,0.000466599
37,2369.08,2.9182,2.99943,1.08948,0.38606,0.16731,0.1397,0.07507,2.99506,2.8451,1.07969,0.00045953,0.00045953,0.00045953
38,2432.76,2.92252,2.98088,1.08291,0.39115,0.16558,0.14696,0.07977,2.93181,2.79861,1.07717,0.000452462,0.000452462,0.000452462
39,2496.59,2.8838,2.94783,1.08279,0.32544,0.16104,0.14397,0.0809,2.90925,2.76191,1.07419,0.000445393,0.000445393,0.000445393
40,2560.44,2.87401,2.92852,1.08293,0.3822,0.16296,0.13883,0.07516,2.90243,2.80921,1.07068,0.000438325,0.000438325,0.000438325
41,2624.2,2.84825,2.91425,1.07279,0.42293,0.16452,0.14771,0.07895,2.88542,2.74574,1.06286,0.000431256,0.000431256,0.000431256
42,2688.13,2.84411,2.87748,1.07241,0.42696,0.16222,0.14346,0.07854,2.8971,2.74376,1.06799,0.000424187,0.000424187,0.000424187
43,2751.71,2.85131,2.90834,1.0763,0.41164,0.16608,0.13831,0.07355,2.89017,2.82822,1.06196,0.000417119,0.000417119,0.000417119
44,2815.28,2.86302,2.89436,1.07152,0.43405,0.17014,0.14984,0.08352,2.89259,2.72094,1.06401,0.00041005,0.00041005,0.00041005
45,2879.82,2.78568,2.84762,1.06525,0.32401,0.17519,0.15068,0.08411,2.85601,2.69682,1.06258,0.000402982,0.000402982,0.000402982
46,2943.61,2.82409,2.85007,1.06438,0.43147,0.16459,0.15357,0.08564,2.9116,2.74672,1.06387,0.000395913,0.000395913,0.000395913
47,3008.01,2.79317,2.82363,1.06053,0.31799,0.17604,0.14801,0.08518,2.81913,2.69203,1.04734,0.000388844,0.000388844,0.000388844
48,3071.75,2.78826,2.79803,1.0607,0.41994,0.18848,0.15943,0.08923,2.80628,2.65459,1.04586,0.000381776,0.000381776,0.000381776
49,3136.24,2.81443,2.82834,1.05548,0.43856,0.17933,0.16207,0.09337,2.801,2.68728,1.04894,0.000374707,0.000374707,0.000374707
50,3200.47,2.78489,2.7996,1.05245,0.41884,0.18374,0.16151,0.09101,2.82213,2.69738,1.04915,0.000367639,0.000367639,0.000367639
51,3264.54,2.75388,2.73715,1.05125,0.20233,0.18662,0.15716,0.08621,2.85156,2.68806,1.05151,0.00036057,0.00036057,0.00036057
52,3329.29,2.76515,2.76005,1.04371,0.41415,0.18026,0.14664,0.08146,2.86981,2.73619,1.04627,0.000353501,0.000353501,0.000353501
53,3393.32,2.76556,2.7593,1.05651,0.43581,0.17801,0.16587,0.09374,2.81259,2.61561,1.04273,0.000346433,0.000346433,0.000346433
54,3457.41,2.73865,2.7103,1.04837,0.42704,0.17901,0.16106,0.08824,2.779,2.62625,1.0438,0.000339364,0.000339364,0.000339364
55,3521.15,2.7444,2.73945,1.04528,0.33732,0.18281,0.16571,0.09431,2.81141,2.62463,1.04613,0.000332296,0.000332296,0.000332296
56,3585.17,2.77462,2.75897,1.0525,0.32178,0.19754,0.16694,0.09222,2.7533,2.58026,1.03646,0.000325227,0.000325227,0.000325227
57,3648.4,2.71726,2.71368,1.03992,0.23728,0.19267,0.17394,0.09536,2.77954,2.58344,1.04015,0.000318158,0.000318158,0.000318158
58,3711.98,2.73639,2.70437,1.0414,0.226,0.19902,0.17044,0.09505,2.76033,2.59994,1.03673,0.00031109,0.00031109,0.00031109
59,3775.63,2.70712,2.66901,1.03401,0.45926,0.18981,0.1691,0.09489,2.78285,2.60342,1.03876,0.000304021,0.000304021,0.000304021
60,3839.31,2.7061,2.67823,1.03597,0.43198,0.19872,0.16582,0.08844,2.79551,2.59668,1.03823,0.000296953,0.000296953,0.000296953
61,3902.92,2.71539,2.68325,1.03471,0.35524,0.19018,0.17394,0.09781,2.7367,2.55703,1.03136,0.000289884,0.000289884,0.000289884
62,3966.14,2.70243,2.64573,1.03573,0.45819,0.197,0.17501,0.0992,2.7305,2.5516,1.03186,0.000282815,0.000282815,0.000282815
63,4029.28,2.68305,2.66211,1.03781,0.44809,0.19044,0.18024,0.10321,2.74921,2.5524,1.03855,0.000275747,0.000275747,0.000275747
64,4092.8,2.6638,2.60467,1.0285,0.34768,0.20412,0.17494,0.09936,2.71252,2.51222,1.02436,0.000268678,0.000268678,0.000268678
