epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4475,5.16595,13.5946,3.95884,0.50548,0.00798,0.00173,0.00042,4.34061,9.33461,3.23929,8.88368e-05,8.88368e-05,8.88368e-05
2,162.013,3.98459,9.49236,2.80969,0.51763,0.01949,0.00685,0.00213,3.61025,7.80393,2.22712,0.000178043,0.000178043,0.000178043
3,235.722,3.40078,7.65289,2.16659,0.33017,0.03361,0.01854,0.00641,3.26296,6.56569,1.96234,0.000267076,0.000267076,0.000267076
4,308.014,3.10774,6.96259,1.90862,0.44952,0.04678,0.02594,0.00955,3.03162,6.19987,1.77683,0.000355803,0.000355803,0.000355803
5,382.27,2.91262,6.4244,1.73177,0.56809,0.04857,0.03781,0.01582,2.85485,5.89683,1.61193,0.000444097,0.000444097,0.000444097
6,455.385,2.7437,6.0368,1.60922,0.57449,0.05791,0.04694,0.02045,2.65627,5.51677,1.55568,0.000531826,0.000531826,0.000531826
7,527.372,2.64613,5.79168,1.54592,0.48287,0.06348,0.05568,0.02477,2.57395,5.44705,1.468,0.000618863,0.000618863,0.000618863
8,599.172,2.51915,5.57009,1.49524,0.48011,0.09024,0.05884,0.02664,2.52227,5.51217,1.43022,0.00070508,0.00070508,0.00070508
9,670.746,2.42279,5.26595,1.42663,0.49045,0.08335,0.06532,0.02938,2.43083,5.02378,1.40256,0.000702896,0.000702896,0.000702896
10,742.311,2.38558,5.2187,1.38865,0.50203,0.0822,0.06842,0.03324,2.39104,4.85693,1.3537,0.000699967,0.000699967,0.000699967
11,813.536,2.31578,4.99339,1.35225,0.51996,0.0934,0.07863,0.03872,2.33902,4.76206,1.33107,0.000696702,0.000696702,0.000696702
12,884.889,2.2453,4.83804,1.32579,0.5251,0.08955,0.07024,0.03262,2.52514,5.27224,1.36874,0.000693105,0.000693105,0.000693105
13,955.996,2.22143,4.84048,1.32729,0.42302,0.11708,0.07952,0.04056,2.31365,4.7763,1.29448,0.000689181,0.000689181,0.000689181
14,1026.93,2.18981,4.69594,1.29239,0.41932,0.10298,0.08287,0.04021,2.23207,4.59248,1.29269,0.000684932,0.000684932,0.000684932
15,1098.18,2.17112,4.62923,1.27574,0.47309,0.11204,0.09385,0.04385,2.26194,4.50186,1.28938,0.000680363,0.000680363,0.000680363
16,1169.29,2.13495,4.53929,1.26011,0.40121,0.11476,0.082,0.04089,2.21631,4.80576,1.25844,0.000675478,0.000675478,0.000675478
17,1240.66,2.10317,4.54299,1.25896,0.4552,0.10159,0.09183,0.04557,2.26025,4.57396,1.26767,0.000670283,0.000670283,0.000670283
18,1312.04,2.08669,4.44947,1.24573,0.45261,0.11524,0.09163,0.04585,2.15779,4.4491,1.24107,0.000664782,0.000664782,0.000664782
19,1383.39,2.06015,4.38436,1.2232,0.36435,0.12429,0.11056,0.05749,2.09842,4.20984,1.23404,0.000658981,0.000658981,0.000658981
20,1454.67,2.03137,4.36108,1.21882,0.36548,0.12813,0.10766,0.05791,2.12439,4.21519,1.21183,0.000652885,0.000652885,0.000652885
21,1526.04,1.99191,4.2142,1.20822,0.37341,0.12748,0.10858,0.059,2.0897,4.25619,1.19405,0.000646501,0.000646501,0.000646501
22,1597.62,1.98461,4.24787,1.20224,0.34101,0.13932,0.10722,0.05294,2.08527,4.45024,1.21817,0.000639834,0.000639834,0.000639834
23,1669.09,1.9725,4.17787,1.19283,0.36076,0.14665,0.12043,0.06346,2.05167,4.07117,1.19117,0.000632892,0.000632892,0.000632892
