epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1313,10.4786,6.2042,5.57008,0.00048,0.00149,0.00076,0.00022,11.0438,5.03305,5.39511,7.09593e-05,7.09593e-05,7.09593e-05
2,164.889,8.09463,4.38717,4.52272,0.41172,0.0222,0.00572,0.00171,7.0429,4.41539,3.38467,0.000142324,0.000142324,0.000142324
3,244.268,6.78523,3.52359,3.19786,0.25165,0.03948,0.02024,0.00688,6.29374,3.02339,2.6587,0.00021355,0.00021355,0.00021355
4,311.15,6.12183,3.13733,2.65291,0.34865,0.04489,0.03078,0.01268,5.79092,2.89797,2.31409,0.000284533,0.000284533,0.000284533
5,376.995,5.64507,2.90475,2.39534,0.55368,0.06394,0.03635,0.01437,5.47352,2.77443,2.15401,0.000355168,0.000355168,0.000355168
6,442.174,5.2952,2.73269,2.18345,0.47027,0.06745,0.04932,0.02188,5.01966,2.37905,2.01116,0.000425351,0.000425351,0.000425351
7,510.285,5.04398,2.59651,2.05333,0.4881,0.06924,0.05409,0.02436,4.9266,2.31608,1.93145,0.000494981,0.000494981,0.000494981
8,580.433,4.81682,2.51248,1.97227,0.49234,0.08052,0.06141,0.02908,4.63589,2.21465,1.84305,0.000563955,0.000563955,0.000563955
9,645.737,4.65584,2.41009,1.87998,0.50771,0.08207,0.06402,0.03075,4.60552,2.22605,1.79518,0.000632173,0.000632173,0.000632173
10,710.611,4.51358,2.36278,1.81753,0.49056,0.08974,0.06168,0.0282,4.69701,2.48924,1.7627,0.000699535,0.000699535,0.000699535
11,774.132,4.36611,2.30107,1.77939,0.52693,0.09812,0.07608,0.03629,4.31195,2.09804,1.73187,0.000696702,0.000696702,0.000696702
12,837.297,4.27972,2.24709,1.72317,0.35556,0.10539,0.05849,0.02517,4.76409,2.47827,1.73203,0.000693105,0.000693105,0.000693105
13,900.07,4.16346,2.17829,1.69772,0.52524,0.09295,0.07786,0.03928,4.28405,2.01256,1.64887,0.000689181,0.000689181,0.000689181
14,963.071,4.07209,2.1261,1.66292,0.55781,0.09139,0.0822,0.03988,4.35733,2.16702,1.66301,0.000684932,0.000684932,0.000684932
15,1026.01,4.06512,2.09582,1.65848,0.53424,0.10478,0.09108,0.04774,4.03195,1.90253,1.61114,0.000680363,0.000680363,0.000680363
16,1088.83,3.98363,2.06882,1.64432,0.44803,0.09259,0.07997,0.0401,4.39137,2.10209,1.63356,0.000675478,0.000675478,0.000675478
17,1151.66,3.93049,2.01304,1.60903,0.44563,0.10941,0.09109,0.04608,4.05542,1.93997,1.58351,0.000670283,0.000670283,0.000670283
18,1215.22,3.83519,1.99056,1.59926,0.46586,0.12303,0.09776,0.05251,3.88325,1.88226,1.56226,0.000664782,0.000664782,0.000664782
19,1277.98,3.84852,1.99404,1.58632,0.43691,0.12506,0.10089,0.05327,3.86475,1.83761,1.55472,0.000658981,0.000658981,0.000658981
20,1341.23,3.78315,1.97486,1.57718,0.35173,0.13195,0.10701,0.05724,3.80461,1.77783,1.53438,0.000652885,0.000652885,0.000652885
21,1404.15,3.79194,1.95404,1.56484,0.3258,0.11918,0.10213,0.05292,3.80544,1.82875,1.5455,0.000646501,0.000646501,0.000646501
22,1466.95,3.73973,1.93312,1.54367,0.39868,0.12335,0.10969,0.05784,3.79446,1.78176,1.52643,0.000639834,0.000639834,0.000639834
23,1529.84,3.69241,1.89676,1.53839,0.37028,0.14797,0.11646,0.06299,3.74698,1.78504,1.52419,0.000632892,0.000632892,0.000632892
24,1593.03,3.67172,1.88988,1.54208,0.34943,0.14334,0.10586,0.05542,3.75023,1.77548,1.51085,0.000625682,0.000625682,0.000625682
25,1656.19,3.63168,1.87284,1.53224,0.35834,0.13687,0.1127,0.05879,3.64022,1.76685,1.49247,0.000618209,0.000618209,0.000618209
26,1719.16,3.65087,1.8712,1.53126,0.26056,0.13854,0.11454,0.06039,3.67165,1.7321,1.48141,0.000610483,0.000610483,0.000610483
27,1782.33,3.59698,1.81878,1.50978,0.38394,0.14637,0.12703,0.07014,3.56395,1.6611,1.47575,0.000602509,0.000602509,0.000602509
28,1845.17,3.60748,1.82456,1.50942,0.39189,0.14172,0.1247,0.06577,3.68901,1.70952,1.49132,0.000594297,0.000594297,0.000594297
29,1908.04,3.59394,1.83459,1.50402,0.38761,0.12751,0.10902,0.05705,3.87456,1.77459,1.48747,0.000585855,0.000585855,0.000585855
30,1970.93,3.58133,1.83025,1.49632,0.29123,0.15653,0.13218,0.0725,3.69708,1.6881,1.47032,0.00057719,0.00057719,0.00057719
31,2034.52,3.568,1.79132,1.47843,0.3977,0.16012,0.13562,0.07378,3.62944,1.67443,1.457,0.000568311,0.000568311,0.000568311
32,2109.31,3.56301,1.796,1.48015,0.21374,0.16828,0.14802,0.07993,3.56771,1.69154,1.44891,0.000559227,0.000559227,0.000559227
33,2175.46,3.50832,1.76521,1.46959,0.40902,0.15343,0.1353,0.0744,3.59921,1.67711,1.44897,0.000549947,0.000549947,0.000549947
34,2239.75,3.50753,1.78122,1.46518,0.30916,0.17738,0.14493,0.07757,3.60091,1.65643,1.43819,0.000540481,0.000540481,0.000540481
35,2304.99,3.49114,1.76174,1.46012,0.31191,0.17215,0.13988,0.07608,3.5427,1.68135,1.44016,0.000530836,0.000530836,0.000530836
36,2374.8,3.48432,1.76594,1.46325,0.31207,0.17212,0.13774,0.07486,3.63742,1.71004,1.43759,0.000521024,0.000521024,0.000521024
37,2452.33,3.47904,1.75223,1.4568,0.37953,0.15281,0.1295,0.06872,3.74195,1.7198,1.45851,0.000511053,0.000511053,0.000511053
