epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.268,7.1629,10.5297,3.38453,0.51642,0.02223,0.01319,0.00398,5.39481,6.17091,2.12514,0.00332921,0.00332921,0.00332921
2,659.502,4.50465,5.9634,1.71421,0.46385,0.07822,0.051,0.02098,4.12934,4.87996,1.48215,0.00659659,0.00659659,0.00659659
3,972.192,3.76027,5.00622,1.39687,0.41339,0.11689,0.08028,0.03862,3.3837,4.21611,1.27104,0.00979796,0.00979796,0.00979796
4,1285.04,3.42612,4.46414,1.28035,0.33402,0.13144,0.10335,0.05408,3.08306,3.8823,1.18968,0.009703,0.009703,0.009703
5,1597.88,3.15613,4.0506,1.21455,0.29771,0.15244,0.12714,0.06686,2.88078,3.54075,1.14657,0.009604,0.009604,0.009604
6,1909.56,3.00148,3.79892,1.16935,0.31897,0.16908,0.14333,0.07907,2.77404,3.33932,1.12176,0.009505,0.009505,0.009505
7,2220.39,2.90416,3.60964,1.14941,0.42667,0.18604,0.16189,0.08771,2.65079,3.11908,1.09484,0.009406,0.009406,0.009406
8,2531.56,2.81508,3.45068,1.12193,0.4361,0.18853,0.16719,0.09084,2.585,3.06198,1.08257,0.009307,0.009307,0.009307
9,2842.59,2.74811,3.35788,1.11497,0.35782,0.20032,0.17609,0.09807,2.52857,2.92962,1.07349,0.009208,0.009208,0.009208
10,3153.91,2.68853,3.24391,1.09802,0.46917,0.19739,0.1855,0.10203,2.48263,2.92033,1.05772,0.009109,0.009109,0.009109
11,3485.9,2.64479,3.17346,1.08826,0.36774,0.21093,0.1893,0.1051,2.45005,2.87043,1.04716,0.00901,0.00901,0.00901
12,3797.5,2.6176,3.11739,1.08348,0.49378,0.21426,0.20138,0.11149,2.4401,2.77743,1.04623,0.008911,0.008911,0.008911
13,4109.56,2.58357,3.06812,1.07316,0.29679,0.22199,0.20477,0.1143,2.42177,2.77706,1.03603,0.008812,0.008812,0.008812
