epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9224,7.88147,11.7668,3.81549,0.60592,0.00539,0.00211,0.00056,7.37895,8.28177,3.34477,0.000236531,0.000236531,0.000236531
2,143.297,5.92075,7.80834,2.53655,0.21122,0.02268,0.00647,0.00205,5.52953,7.53545,2.1907,0.000469833,0.000469833,0.000469833
3,207.921,5.25089,6.76575,2.08102,0.56565,0.02396,0.01585,0.00535,4.95232,6.13373,1.85353,0.000698423,0.000698423,0.000698423
4,273.834,4.76181,6.22092,1.794,0.56643,0.04735,0.0299,0.01137,4.56903,5.6375,1.63453,0.000692794,0.000692794,0.000692794
5,337.445,4.45114,5.84744,1.64242,0.57243,0.05044,0.04062,0.01612,4.28123,5.24489,1.52287,0.000685726,0.000685726,0.000685726
6,400.747,4.24061,5.52841,1.52633,0.57201,0.0609,0.04656,0.01975,4.19014,4.95844,1.43142,0.000678657,0.000678657,0.000678657
7,463.86,4.04187,5.2639,1.44788,0.57518,0.06015,0.05257,0.02515,3.95749,4.77908,1.38727,0.000671588,0.000671588,0.000671588
8,527.174,3.86691,5.07433,1.40355,0.50484,0.06846,0.05947,0.02792,3.83356,4.53867,1.37517,0.00066452,0.00066452,0.00066452
9,590.599,3.76896,4.84039,1.35763,0.48411,0.0814,0.05947,0.02749,3.93825,4.63056,1.33116,0.000657451,0.000657451,0.000657451
10,654.167,3.68361,4.73391,1.32417,0.50886,0.09665,0.06934,0.03276,3.6433,4.48117,1.28811,0.000650383,0.000650383,0.000650383
11,718.394,3.57002,4.6261,1.30272,0.49925,0.09477,0.07253,0.03493,3.5655,4.22962,1.26511,0.000643314,0.000643314,0.000643314
12,782.128,3.49883,4.50304,1.27477,0.48206,0.11173,0.06702,0.02992,3.69037,4.5045,1.25849,0.000636245,0.000636245,0.000636245
13,845.51,3.41675,4.40364,1.25799,0.52725,0.09115,0.07507,0.03774,3.56676,4.41837,1.23056,0.000629177,0.000629177,0.000629177
14,908.761,3.37164,4.31843,1.23435,0.50417,0.10772,0.08113,0.03838,3.50396,4.07431,1.22212,0.000622108,0.000622108,0.000622108
15,972.081,3.36457,4.25341,1.23647,0.5309,0.10231,0.09024,0.04544,3.37254,3.91661,1.21275,0.00061504,0.00061504,0.00061504
16,1035.44,3.30619,4.19693,1.22348,0.39855,0.11418,0.08632,0.04279,3.35109,3.98024,1.18638,0.000607971,0.000607971,0.000607971
17,1098.34,3.27148,4.13059,1.20247,0.41137,0.11748,0.0965,0.04792,3.41539,3.92652,1.18272,0.000600902,0.000600902,0.000600902
18,1161.68,3.20982,4.07241,1.19154,0.43923,0.12414,0.09982,0.05105,3.23737,3.95286,1.16522,0.000593834,0.000593834,0.000593834
19,1224.79,3.20363,4.05666,1.18258,0.32248,0.12703,0.09721,0.0522,3.19971,3.84545,1.1441,0.000586765,0.000586765,0.000586765
20,1288.21,3.17391,4.03251,1.17814,0.4565,0.11475,0.10927,0.05799,3.18881,3.68763,1.1496,0.000579697,0.000579697,0.000579697
21,1351.35,3.18174,3.99276,1.16824,0.44218,0.13256,0.10554,0.0563,3.15032,3.84928,1.14034,0.000572628,0.000572628,0.000572628
22,1414.51,3.15601,3.9685,1.15514,0.34514,0.13343,0.11291,0.05841,3.20535,3.65112,1.14759,0.000565559,0.000565559,0.000565559
23,1477.85,3.11936,3.88443,1.14922,0.37073,0.13166,0.11794,0.06299,3.12344,3.57929,1.14788,0.000558491,0.000558491,0.000558491
24,1540.95,3.09269,3.89132,1.14699,0.34252,0.14093,0.10758,0.05684,3.18246,3.65821,1.13754,0.000551422,0.000551422,0.000551422
25,1604.11,3.09377,3.87684,1.14526,0.35857,0.13834,0.12099,0.06428,3.11404,3.65688,1.12721,0.000544354,0.000544354,0.000544354
26,1667.17,3.12445,3.87726,1.14626,0.37124,0.14467,0.12392,0.06592,3.1044,3.54219,1.12121,0.000537285,0.000537285,0.000537285
27,1730.44,3.06053,3.76589,1.12586,0.45353,0.15109,0.12417,0.06628,3.05736,3.56807,1.1139,0.000530216,0.000530216,0.000530216
28,1793.95,3.07713,3.78814,1.12798,0.38238,0.14392,0.1195,0.0632,3.09596,3.48078,1.10847,0.000523148,0.000523148,0.000523148
29,1857,3.06248,3.77822,1.12295,0.34296,0.15209,0.12119,0.06474,3.06817,3.53949,1.10276,0.000516079,0.000516079,0.000516079
30,1920.08,3.03338,3.74753,1.11431,0.38634,0.14354,0.12333,0.06619,3.11711,3.57793,1.11797,0.000509011,0.000509011,0.000509011
31,1983.44,3.01761,3.67994,1.10321,0.36908,0.14015,0.12526,0.068,3.10716,3.54371,1.10437,0.000501942,0.000501942,0.000501942
