epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.144,4.38642,4.27105,3.22441,0.4255,0.0326,0.01732,0.00554,3.22096,2.82679,1.87939,0.00332921,0.00332921,0.00332921
2,411.202,2.77708,2.47794,1.61597,0.49011,0.07882,0.05969,0.02719,2.30512,1.91938,1.36234,0.00659659,0.00659659,0.00659659
3,602.467,2.33089,2.10587,1.36666,0.52292,0.10134,0.08005,0.03774,2.08873,1.75606,1.24835,0.00979796,0.00979796,0.00979796
4,792.103,2.11166,1.88544,1.26022,0.32565,0.11585,0.0959,0.04949,1.93043,1.59718,1.17514,0.009703,0.009703,0.009703
5,986.261,1.94959,1.72022,1.19245,0.30159,0.14902,0.125,0.06822,1.75815,1.43852,1.12107,0.009604,0.009604,0.009604
6,1174.96,1.86085,1.61646,1.15412,0.31574,0.15283,0.13227,0.07393,1.72118,1.44763,1.11289,0.009505,0.009505,0.009505
7,1363.59,1.78793,1.52735,1.13152,0.3148,0.17853,0.14973,0.08248,1.63705,1.32183,1.08787,0.009406,0.009406,0.009406
8,1580.96,1.72689,1.45624,1.11116,0.34006,0.18623,0.16305,0.09064,1.59871,1.26916,1.07257,0.009307,0.009307,0.009307
9,1770.3,1.70547,1.42584,1.09647,0.33553,0.18979,0.16531,0.09134,1.59524,1.25811,1.06632,0.009208,0.009208,0.009208
10,1959.09,1.68147,1.38964,1.09088,0.46007,0.1959,0.18164,0.10071,1.54195,1.22886,1.05321,0.009109,0.009109,0.009109
11,2147.59,1.64632,1.35114,1.07894,0.35257,0.2066,0.17843,0.10165,1.5234,1.20752,1.03654,0.00901,0.00901,0.00901
12,2335.85,1.61882,1.32887,1.07015,0.46788,0.2136,0.19254,0.10874,1.54413,1.1925,1.03883,0.008911,0.008911,0.008911
13,2524.63,1.61584,1.30982,1.06535,0.27526,0.2269,0.19933,0.11458,1.51826,1.18546,1.03016,0.008812,0.008812,0.008812
14,2714.13,1.6083,1.2905,1.05346,0.50337,0.22422,0.21223,0.12162,1.4953,1.16073,1.02102,0.008713,0.008713,0.008713
15,2903.01,1.60233,1.28082,1.04746,0.34406,0.22838,0.21171,0.12177,1.48107,1.15309,1.01106,0.008614,0.008614,0.008614
16,3092.39,1.58764,1.26415,1.04193,0.4392,0.22549,0.21783,0.12628,1.4702,1.12939,1.00868,0.008515,0.008515,0.008515
17,3281.06,1.58466,1.26097,1.03748,0.32112,0.22932,0.22034,0.12855,1.46492,1.12879,1.00686,0.008416,0.008416,0.008416
18,3470.65,1.55414,1.22756,1.02574,0.42533,0.23228,0.22785,0.13164,1.454,1.11954,1.00019,0.008317,0.008317,0.008317
19,3659.85,1.54776,1.23005,1.02517,0.51667,0.22915,0.2267,0.13061,1.44507,1.10619,0.99665,0.008218,0.008218,0.008218
