epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0763,5.15597,15.5593,4.00681,0.60684,0.00826,0.00259,0.0006,4.17222,9.69699,3.08757,0.000142139,0.000142139,0.000142139
2,112.739,3.79741,9.98426,2.58824,0.73539,0.0184,0.0095,0.00286,3.52466,8.2863,2.17058,0.000282118,0.000282118,0.000282118
3,163.647,3.29522,8.44775,2.05046,0.73625,0.02703,0.02393,0.00854,3.1013,7.74106,1.80944,0.00041927,0.00041927,0.00041927
4,214.5,2.99307,7.63972,1.80185,0.54404,0.03102,0.03153,0.01221,2.92259,7.088,1.66652,0.000553594,0.000553594,0.000553594
5,264.533,2.8093,7.15144,1.65822,0.48025,0.04886,0.04398,0.01808,2.73692,6.81888,1.54465,0.000685091,0.000685091,0.000685091
6,314.526,2.65412,6.77311,1.56081,0.47411,0.06072,0.05111,0.02247,2.65261,6.27241,1.52115,0.000678657,0.000678657,0.000678657
7,363.796,2.58443,6.50685,1.49682,0.35882,0.08266,0.05107,0.02222,2.76502,6.59054,1.46553,0.000671588,0.000671588,0.000671588
8,413.073,2.47339,6.2858,1.436,0.29052,0.08668,0.06353,0.02824,2.50807,5.82942,1.4137,0.00066452,0.00066452,0.00066452
9,462.177,2.39268,6.01405,1.39293,0.40816,0.08336,0.0674,0.03034,2.5022,5.75068,1.37074,0.000657451,0.000657451,0.000657451
10,511.212,2.33977,5.8938,1.35572,0.50147,0.09158,0.0689,0.03068,2.39785,5.64652,1.34296,0.000650383,0.000650383,0.000650383
11,560.886,2.30408,5.74285,1.33176,0.53135,0.10023,0.07663,0.03575,2.33811,5.50795,1.31333,0.000643314,0.000643314,0.000643314
12,609.736,2.24694,5.57673,1.30898,0.44802,0.09031,0.07898,0.0375,2.36388,5.4221,1.31991,0.000636245,0.000636245,0.000636245
13,658.746,2.20064,5.46152,1.28654,0.44264,0.11412,0.08794,0.04261,2.25615,5.1365,1.28793,0.000629177,0.000629177,0.000629177
14,707.73,2.19016,5.39803,1.2726,0.50735,0.10674,0.08117,0.03782,2.40943,5.48654,1.29033,0.000622108,0.000622108,0.000622108
15,756.993,2.11127,5.24649,1.25395,0.43258,0.12133,0.09895,0.04837,2.18385,5.13835,1.26972,0.00061504,0.00061504,0.00061504
16,806.655,2.10049,5.23879,1.25109,0.42601,0.11482,0.08989,0.04206,2.31344,5.43857,1.28293,0.000607971,0.000607971,0.000607971
17,855.42,2.09539,5.11049,1.23033,0.44815,0.12914,0.10075,0.05154,2.19058,5.061,1.24086,0.000600902,0.000600902,0.000600902
18,904.267,2.07314,5.11028,1.22849,0.47702,0.12056,0.1038,0.05151,2.15999,4.94752,1.22886,0.000593834,0.000593834,0.000593834
19,952.916,2.06951,5.01083,1.21994,0.29502,0.13328,0.10663,0.05335,2.16507,4.986,1.2378,0.000586765,0.000586765,0.000586765
20,1002,2.01989,4.98975,1.21286,0.35804,0.14138,0.11415,0.05871,2.09657,4.73999,1.20978,0.000579697,0.000579697,0.000579697
21,1051.18,1.99131,4.85546,1.20738,0.25312,0.1283,0.10975,0.05806,2.09376,4.76631,1.20915,0.000572628,0.000572628,0.000572628
22,1100.02,1.97323,4.84203,1.18801,0.35292,0.14707,0.11765,0.05838,2.07535,4.72007,1.19729,0.000565559,0.000565559,0.000565559
23,1149.28,1.97198,4.73578,1.17771,0.39791,0.13796,0.12057,0.06301,2.08077,4.76788,1.19572,0.000558491,0.000558491,0.000558491
24,1198.37,1.96401,4.73009,1.17382,0.4371,0.15347,0.12237,0.06405,2.0733,4.69995,1.18654,0.000551422,0.000551422,0.000551422
25,1249.96,1.94395,4.69474,1.16926,0.38399,0.15696,0.13168,0.06538,2.03877,4.64896,1.18813,0.000544354,0.000544354,0.000544354
26,1299.67,1.95057,4.63002,1.17184,0.38895,0.15638,0.13336,0.06834,2.01959,4.52353,1.19554,0.000537285,0.000537285,0.000537285
27,1348.86,1.93222,4.66052,1.15999,0.38205,0.15671,0.12697,0.06561,2.00912,4.56758,1.1692,0.000530216,0.000530216,0.000530216
28,1398.18,1.92012,4.58028,1.14789,0.40293,0.14913,0.12632,0.06661,1.99303,4.53774,1.16747,0.000523148,0.000523148,0.000523148
29,1448.2,1.94606,4.61723,1.15204,0.40714,0.16158,0.13437,0.06827,2.00343,4.53454,1.17452,0.000516079,0.000516079,0.000516079
30,1497.15,1.89448,4.54881,1.14626,0.31351,0.14645,0.13032,0.06712,2.03563,4.58117,1.166,0.000509011,0.000509011,0.000509011
31,1546.16,1.90314,4.48107,1.14092,0.29789,0.16006,0.13363,0.06991,2.00667,4.56206,1.15438,0.000501942,0.000501942,0.000501942
32,1594.89,1.89655,4.49687,1.14633,0.3383,0.17267,0.1434,0.0737,1.96946,4.51371,1.15839,0.000494873,0.000494873,0.000494873
33,1644.46,1.85839,4.4048,1.13415,0.42811,0.15734,0.13727,0.07243,1.96052,4.42951,1.13709,0.000487805,0.000487805,0.000487805
34,1694.25,1.8674,4.38105,1.12864,0.31533,0.16627,0.13912,0.07526,1.96984,4.44995,1.15331,0.000480736,0.000480736,0.000480736
