epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.9,1.80579,2.3478,1.0872,0.43441,0.13881,0.10787,0.05949,1.63149,1.51914,1.00344,0.00332819,0.00332819,0.00332819
2,322.659,1.72389,1.6264,1.02597,0.30372,0.17663,0.13941,0.07901,1.58637,1.42587,0.99053,0.00659557,0.00659557,0.00659557
3,469.509,1.72393,1.55355,1.01674,0.29682,0.19262,0.1394,0.0777,1.63619,1.49719,0.99397,0.00979696,0.00979696,0.00979696
4,615.506,1.71111,1.49984,1.01096,0.36553,0.19536,0.17335,0.09863,1.56322,1.3101,0.97772,0.009703,0.009703,0.009703
5,760.438,1.66684,1.42928,1.00018,0.27629,0.20681,0.19043,0.10943,1.53127,1.24842,0.96844,0.009604,0.009604,0.009604
6,905.985,1.63107,1.37406,0.98793,0.29273,0.22153,0.1955,0.11355,1.50647,1.20939,0.96487,0.009505,0.009505,0.009505
7,1051.68,1.61159,1.33891,0.98475,0.3057,0.22506,0.20998,0.12078,1.49168,1.19131,0.96469,0.009406,0.009406,0.009406
8,1198.01,1.58459,1.29607,0.97894,0.29615,0.21748,0.20853,0.12029,1.49372,1.1798,0.96131,0.009307,0.009307,0.009307
9,1345.1,1.56617,1.27703,0.97497,0.29507,0.23052,0.21183,0.12148,1.48569,1.15715,0.9642,0.009208,0.009208,0.009208
10,1490.67,1.55445,1.25235,0.97067,0.31309,0.22981,0.21692,0.12578,1.49647,1.1687,0.96372,0.009109,0.009109,0.009109
11,1635.81,1.54138,1.22837,0.96511,0.323,0.23778,0.21638,0.12478,1.45353,1.13921,0.95183,0.00901,0.00901,0.00901
12,1780.53,1.52874,1.21339,0.96358,0.33609,0.24477,0.23499,0.13557,1.45143,1.11588,0.95256,0.008911,0.008911,0.008911
13,1925.31,1.53215,1.20387,0.96224,0.33599,0.24537,0.2318,0.13584,1.42067,1.10566,0.94521,0.008812,0.008812,0.008812
14,2070.15,1.51741,1.1944,0.96087,0.34666,0.25289,0.24178,0.14012,1.41503,1.08803,0.94326,0.008713,0.008713,0.008713
15,2214.58,1.50942,1.17481,0.95622,0.44147,0.24839,0.23908,0.14014,1.40705,1.08712,0.942,0.008614,0.008614,0.008614
16,2358.97,1.49781,1.16421,0.95524,0.34754,0.25425,0.24236,0.14141,1.41337,1.07799,0.94216,0.008515,0.008515,0.008515
17,2505.46,1.50449,1.16298,0.95647,0.3802,0.25048,0.24715,0.14505,1.4049,1.07277,0.94307,0.008416,0.008416,0.008416
18,2654.13,1.49677,1.15211,0.95487,0.36618,0.25472,0.24803,0.14432,1.40063,1.06947,0.9428,0.008317,0.008317,0.008317
19,2798.58,1.47992,1.13584,0.94961,0.34445,0.2664,0.25455,0.14911,1.39125,1.05313,0.93894,0.008218,0.008218,0.008218
20,2943.07,1.47749,1.13061,0.94782,0.3551,0.26173,0.24716,0.1449,1.39488,1.06071,0.93235,0.008119,0.008119,0.008119
21,3088.25,1.46535,1.11997,0.94685,0.34558,0.25883,0.25447,0.14953,1.38893,1.0543,0.93911,0.00802,0.00802,0.00802
22,3233.33,1.47062,1.11269,0.94596,0.35194,0.26713,0.25633,0.15036,1.37845,1.04709,0.93425,0.007921,0.007921,0.007921
23,3378.04,1.45711,1.10699,0.94534,0.37608,0.26538,0.26202,0.1542,1.38062,1.03454,0.93455,0.007822,0.007822,0.007822
24,3523.82,1.4575,1.10492,0.94283,0.35109,0.26936,0.25786,0.15178,1.37649,1.03953,0.93272,0.007723,0.007723,0.007723
25,3668.79,1.45806,1.10064,0.94448,0.35449,0.27665,0.2573,0.15083,1.37572,1.04157,0.93144,0.007624,0.007624,0.007624
26,3813.49,1.45067,1.09802,0.94284,0.35718,0.26736,0.25878,0.15293,1.37143,1.03195,0.93166,0.007525,0.007525,0.007525
27,3958.07,1.44795,1.08872,0.94076,0.37534,0.27065,0.26805,0.1583,1.36486,1.0224,0.92934,0.007426,0.007426,0.007426
28,4102.54,1.44828,1.08756,0.93909,0.36892,0.27278,0.26552,0.15615,1.36635,1.02473,0.93308,0.007327,0.007327,0.007327
29,4247.25,1.43173,1.07443,0.93718,0.36226,0.27645,0.26815,0.15743,1.36405,1.01564,0.92948,0.007228,0.007228,0.007228
30,4392.06,1.42867,1.07135,0.93591,0.37746,0.27165,0.26604,0.15742,1.36227,1.01566,0.92958,0.007129,0.007129,0.007129
31,4536.82,1.43387,1.07162,0.93661,0.35017,0.27972,0.26622,0.15675,1.35956,1.01475,0.92839,0.00703,0.00703,0.00703
32,4681.28,1.43316,1.06368,0.93547,0.35501,0.27871,0.2676,0.1594,1.35347,1.0097,0.92651,0.006931,0.006931,0.006931
33,4826.49,1.41923,1.05697,0.93462,0.34892,0.28078,0.26805,0.15981,1.35335,1.00137,0.92526,0.006832,0.006832,0.006832
34,4970.88,1.42516,1.05816,0.93293,0.37441,0.27877,0.27674,0.16256,1.34668,0.99734,0.92405,0.006733,0.006733,0.006733
35,5115.41,1.41837,1.04761,0.93349,0.36062,0.27943,0.27196,0.15979,1.3513,1.00388,0.92646,0.006634,0.006634,0.006634
36,5259.58,1.41855,1.05125,0.93433,0.357,0.28576,0.27062,0.15962,1.35319,1.00388,0.92566,0.006535,0.006535,0.006535
37,5404.41,1.41774,1.04818,0.93329,0.36661,0.2812,0.27687,0.16406,1.34029,0.98988,0.92365,0.006436,0.006436,0.006436
38,5548.79,1.41283,1.03999,0.93222,0.37146,0.28592,0.27879,0.16555,1.3352,0.99079,0.92181,0.006337,0.006337,0.006337
39,5694.45,1.40472,1.03552,0.93001,0.37265,0.28235,0.27578,0.16301,1.34223,0.99209,0.92448,0.006238,0.006238,0.006238
40,5838.72,1.40533,1.0406,0.92977,0.37486,0.285,0.27759,0.16349,1.33816,0.98837,0.92225,0.006139,0.006139,0.006139
41,5983.24,1.40293,1.033,0.93142,0.37672,0.28673,0.27866,0.16329,1.33411,0.98387,0.92192,0.00604,0.00604,0.00604
42,6102.89,1.39839,1.03095,0.92976,0.37399,0.2871,0.28135,0.16659,1.32678,0.98095,0.91873,0.005941,0.005941,0.005941
43,6214.78,1.39947,1.0276,0.92531,0.38372,0.28354,0.27986,0.16655,1.3311,0.9839,0.92152,0.005842,0.005842,0.005842
44,6329.14,1.39622,1.0211,0.92639,0.38134,0.28296,0.28192,0.16703,1.33298,0.98391,0.92216,0.005743,0.005743,0.005743
45,6450.82,1.39621,1.02035,0.92698,0.39342,0.28597,0.28472,0.16906,1.33042,0.97767,0.92174,0.005644,0.005644,0.005644
46,6570.8,1.39353,1.01661,0.92731,0.38152,0.28682,0.28334,0.16772,1.33187,0.97953,0.92244,0.005545,0.005545,0.005545
47,6689.21,1.37813,1.00716,0.92197,0.38673,0.29224,0.28411,0.16928,1.32933,0.98003,0.92068,0.005446,0.005446,0.005446
48,6806.6,1.38637,1.01174,0.92438,0.3743,0.29463,0.2857,0.16938,1.32458,0.97345,0.92199,0.005347,0.005347,0.005347
49,6923.79,1.37828,1.00614,0.92371,0.38367,0.29463,0.28586,0.16944,1.32772,0.97051,0.92179,0.005248,0.005248,0.005248
50,7041.11,1.38375,1.00537,0.92413,0.38213,0.2949,0.28716,0.17184,1.31844,0.96574,0.91758,0.005149,0.005149,0.005149
51,7158.22,1.37296,0.99797,0.92214,0.38479,0.29342,0.28694,0.17212,1.31951,0.96725,0.91937,0.00505,0.00505,0.00505
52,7276.04,1.3843,1.00036,0.92339,0.38236,0.29316,0.28521,0.16974,1.31712,0.96602,0.91798,0.004951,0.004951,0.004951
53,7393.2,1.38323,1.00127,0.92276,0.37659,0.29543,0.28712,0.17149,1.31743,0.96115,0.91804,0.004852,0.004852,0.004852
