epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2986,1.90954,2.88763,1.10663,0.59971,0.11132,0.08475,0.04404,1.90051,1.88852,1.05482,0.000236898,0.000236898,0.000236898
2,73.6486,1.80443,1.82771,1.03656,0.33313,0.1172,0.09614,0.05361,1.87456,1.6864,1.07035,0.000470197,0.000470197,0.000470197
3,106.604,1.73266,1.68458,1.02912,0.54542,0.13911,0.11576,0.06496,1.77628,1.60744,1.0339,0.000698783,0.000698783,0.000698783
4,140.074,1.71087,1.61993,1.02324,0.36901,0.14985,0.12609,0.07039,1.77769,1.50522,1.0391,0.000692794,0.000692794,0.000692794
5,173.703,1.66788,1.56564,1.0091,0.57724,0.167,0.13826,0.0786,1.7593,1.4822,1.01675,0.000685726,0.000685726,0.000685726
6,207.032,1.65631,1.51347,1.0063,0.38546,0.17389,0.15176,0.08628,1.74205,1.43459,1.0129,0.000678657,0.000678657,0.000678657
7,240.469,1.66156,1.49862,1.00238,0.37528,0.1862,0.14914,0.08481,1.7081,1.43557,1.01757,0.000671588,0.000671588,0.000671588
8,273.454,1.62612,1.45902,0.99595,0.40611,0.18939,0.1533,0.0853,1.71771,1.42825,1.01373,0.00066452,0.00066452,0.00066452
9,306.556,1.59844,1.41294,0.98958,0.54647,0.18258,0.16379,0.09469,1.73888,1.4055,1.0137,0.000657451,0.000657451,0.000657451
10,339.831,1.61435,1.42339,0.98924,0.43945,0.22186,0.1776,0.09929,1.68488,1.40218,1.02142,0.000650383,0.000650383,0.000650383
11,373.594,1.60732,1.39425,0.98596,0.4516,0.20132,0.18606,0.10905,1.66451,1.36269,0.99706,0.000643314,0.000643314,0.000643314
12,407.287,1.5845,1.36194,0.98501,0.37979,0.20241,0.17789,0.10517,1.68358,1.35765,1.00783,0.000636245,0.000636245,0.000636245
13,440.297,1.58128,1.34272,0.98084,0.46805,0.2133,0.1925,0.11026,1.71177,1.34763,1.01527,0.000629177,0.000629177,0.000629177
14,473.285,1.59136,1.33482,0.97879,0.4706,0.20486,0.19,0.11183,1.65868,1.32146,1.00219,0.000622108,0.000622108,0.000622108
15,506.464,1.53903,1.29822,0.97523,0.38151,0.22207,0.19168,0.11172,1.66345,1.30657,1.00258,0.00061504,0.00061504,0.00061504
16,539.492,1.5443,1.29184,0.97521,0.36307,0.22949,0.20516,0.11973,1.6371,1.30198,1.00187,0.000607971,0.000607971,0.000607971
17,572.389,1.54885,1.28194,0.97027,0.26598,0.2222,0.19454,0.11287,1.66219,1.35491,0.99819,0.000600902,0.000600902,0.000600902
18,605.241,1.55031,1.28603,0.97486,0.27215,0.23036,0.20504,0.11813,1.63077,1.29709,1.00613,0.000593834,0.000593834,0.000593834
19,638.328,1.54726,1.26475,0.97064,0.29352,0.22517,0.20366,0.11729,1.62319,1.27886,0.99859,0.000586765,0.000586765,0.000586765
20,671.255,1.52498,1.26335,0.97214,0.48765,0.22345,0.20932,0.12235,1.62551,1.29447,0.9975,0.000579697,0.000579697,0.000579697
21,704.42,1.52081,1.23331,0.9732,0.29409,0.22508,0.20642,0.11982,1.62947,1.28606,0.99569,0.000572628,0.000572628,0.000572628
22,737.376,1.51593,1.24049,0.96598,0.27636,0.24769,0.21201,0.12186,1.61743,1.25889,0.992,0.000565559,0.000565559,0.000565559
23,770.058,1.51392,1.2197,0.962,0.39694,0.2253,0.20723,0.1194,1.62624,1.26895,0.99547,0.000558491,0.000558491,0.000558491
24,803.335,1.51336,1.21835,0.96322,0.50407,0.22046,0.21085,0.12308,1.60601,1.23903,0.99347,0.000551422,0.000551422,0.000551422
25,836.424,1.50365,1.20354,0.96207,0.2801,0.23423,0.21397,0.12596,1.61883,1.25637,0.99105,0.000544354,0.000544354,0.000544354
26,869.722,1.51397,1.20189,0.96454,0.4713,0.2496,0.22527,0.13272,1.60792,1.25089,0.99265,0.000537285,0.000537285,0.000537285
27,902.803,1.49524,1.20239,0.95691,0.38748,0.24121,0.22035,0.1281,1.59836,1.23695,0.98618,0.000530216,0.000530216,0.000530216
28,935.91,1.50598,1.19378,0.95515,0.37663,0.23753,0.22011,0.12587,1.59064,1.2311,0.98328,0.000523148,0.000523148,0.000523148
29,968.837,1.52028,1.1935,0.95775,0.40055,0.23478,0.21552,0.12303,1.60295,1.23125,0.9918,0.000516079,0.000516079,0.000516079
30,1001.61,1.48759,1.17966,0.95657,0.32763,0.22908,0.22013,0.12851,1.61059,1.25671,0.99212,0.000509011,0.000509011,0.000509011
31,1034.49,1.49829,1.16784,0.95592,0.40375,0.22356,0.22348,0.13043,1.58056,1.21705,0.98194,0.000501942,0.000501942,0.000501942
32,1067.5,1.49634,1.17451,0.95863,0.29401,0.24606,0.22496,0.13137,1.59294,1.23856,0.98575,0.000494873,0.000494873,0.000494873
33,1100.46,1.46304,1.14857,0.95377,0.31136,0.23189,0.22448,0.13208,1.58348,1.22409,0.97768,0.000487805,0.000487805,0.000487805
34,1133.55,1.47474,1.14834,0.94982,0.28258,0.24969,0.22459,0.13319,1.59333,1.21216,0.98844,0.000480736,0.000480736,0.000480736
35,1166.61,1.47553,1.13723,0.94962,0.30035,0.23942,0.22511,0.13018,1.60858,1.22372,0.99,0.000473668,0.000473668,0.000473668
36,1199.59,1.47228,1.14002,0.95292,0.41455,0.23853,0.22918,0.13408,1.55856,1.20505,0.97732,0.000466599,0.000466599,0.000466599
37,1232.78,1.47729,1.13113,0.9482,0.31673,0.2531,0.22725,0.13189,1.58577,1.21989,0.97786,0.00045953,0.00045953,0.00045953
38,1265.87,1.48266,1.14343,0.95252,0.30702,0.24685,0.22823,0.13353,1.5717,1.20023,0.97512,0.000452462,0.000452462,0.000452462
39,1299.09,1.47591,1.12828,0.94726,0.30967,0.26706,0.23284,0.13298,1.57499,1.20901,0.97439,0.000445393,0.000445393,0.000445393
40,1332.34,1.46598,1.1262,0.95113,0.31906,0.25212,0.23051,0.13677,1.57669,1.20792,0.98632,0.000438325,0.000438325,0.000438325
41,1365.37,1.46694,1.12754,0.94733,0.29241,0.24518,0.22754,0.13262,1.57715,1.22177,0.97798,0.000431256,0.000431256,0.000431256
42,1398.36,1.4712,1.11773,0.94852,0.37309,0.24654,0.24435,0.14378,1.57247,1.19321,0.98141,0.000424187,0.000424187,0.000424187
43,1431.16,1.44624,1.10253,0.94499,0.35931,0.2375,0.23792,0.13881,1.57523,1.19649,0.98095,0.000417119,0.000417119,0.000417119
44,1464.72,1.43483,1.09046,0.94241,0.28697,0.25322,0.23687,0.13903,1.57343,1.21133,0.98692,0.00041005,0.00041005,0.00041005
45,1497.76,1.44125,1.09126,0.94291,0.2936,0.25191,0.23022,0.13377,1.56825,1.21618,0.98545,0.000402982,0.000402982,0.000402982
46,1530.83,1.47032,1.12212,0.94906,0.31918,0.2566,0.23614,0.13609,1.55994,1.19291,0.97668,0.000395913,0.000395913,0.000395913
47,1564.32,1.44653,1.08479,0.94047,0.31096,0.26339,0.2394,0.13758,1.56435,1.19628,0.98043,0.000388844,0.000388844,0.000388844
48,1597.5,1.4283,1.07862,0.94137,0.30213,0.26179,0.23717,0.13802,1.56005,1.18715,0.97478,0.000381776,0.000381776,0.000381776
49,1630.81,1.46123,1.09653,0.94405,0.28176,0.2615,0.23838,0.13519,1.56182,1.20648,0.97751,0.000374707,0.000374707,0.000374707
50,1664.27,1.44569,1.08878,0.94617,0.30304,0.25829,0.23479,0.13572,1.55905,1.19645,0.97702,0.000367639,0.000367639,0.000367639
51,1697.64,1.43914,1.08017,0.94333,0.31117,0.27026,0.24122,0.13957,1.5648,1.18195,0.97738,0.00036057,0.00036057,0.00036057
52,1730.96,1.43427,1.07274,0.93726,0.28844,0.26427,0.2398,0.13817,1.56216,1.19771,0.97665,0.000353501,0.000353501,0.000353501
53,1764.36,1.41646,1.05898,0.93957,0.36812,0.24491,0.23985,0.13923,1.5715,1.19224,0.98058,0.000346433,0.000346433,0.000346433
54,1797.16,1.42527,1.05493,0.94022,0.34972,0.26166,0.24816,0.14302,1.56534,1.16997,0.9825,0.000339364,0.000339364,0.000339364
55,1830.19,1.42971,1.06176,0.93992,0.34332,0.24945,0.24619,0.14375,1.55378,1.17008,0.98065,0.000332296,0.000332296,0.000332296
56,1863.36,1.42616,1.0532,0.93768,0.3148,0.26178,0.24568,0.14366,1.54116,1.18542,0.97473,0.000325227,0.000325227,0.000325227
57,1896.31,1.41554,1.04197,0.93428,0.3229,0.26641,0.24508,0.14565,1.54773,1.17839,0.97765,0.000318158,0.000318158,0.000318158
58,1929.8,1.43249,1.0605,0.93753,0.32232,0.24894,0.2414,0.14128,1.55162,1.17564,0.97652,0.00031109,0.00031109,0.00031109
59,1962.91,1.41847,1.0497,0.9369,0.32064,0.25873,0.24355,0.13692,1.57305,1.18285,0.97774,0.000304021,0.000304021,0.000304021
60,1995.84,1.42173,1.04259,0.93688,0.33577,0.25334,0.24802,0.14437,1.56063,1.17493,0.97831,0.000296953,0.000296953,0.000296953
61,2028.73,1.41241,1.03373,0.93309,0.33346,0.26203,0.24635,0.14581,1.54239,1.16843,0.97319,0.000289884,0.000289884,0.000289884
62,2061.6,1.40696,1.03124,0.93319,0.33288,0.26294,0.24474,0.14049,1.55725,1.17561,0.97524,0.000282815,0.000282815,0.000282815
63,2094.35,1.41674,1.03628,0.93315,0.31313,0.28048,0.24645,0.14338,1.5534,1.17587,0.97854,0.000275747,0.000275747,0.000275747
64,2127.11,1.38975,1.01771,0.93158,0.33737,0.27102,0.25302,0.14708,1.54969,1.16521,0.9758,0.000268678,0.000268678,0.000268678
65,2160.51,1.40392,1.01797,0.93443,0.33002,0.26484,0.24957,0.14306,1.54877,1.16027,0.97482,0.00026161,0.00026161,0.00026161
66,2193.62,1.38191,1.00015,0.9269,0.34488,0.25976,0.25103,0.14751,1.54838,1.16709,0.97424,0.000254541,0.000254541,0.000254541
67,2226.66,1.38372,1.00566,0.93009,0.3385,0.26777,0.25221,0.15067,1.54823,1.14644,0.97836,0.000247472,0.000247472,0.000247472
68,2259.65,1.4077,1.02259,0.93132,0.34797,0.25656,0.24753,0.14571,1.546,1.16816,0.97095,0.000240404,0.000240404,0.000240404
69,2292.59,1.40821,1.02539,0.93036,0.35478,0.2674,0.25127,0.14424,1.54055,1.16022,0.96863,0.000233335,0.000233335,0.000233335
70,2325.29,1.38441,0.998,0.92559,0.34694,0.26562,0.25566,0.14909,1.56613,1.17005,0.9801,0.000226267,0.000226267,0.000226267
71,2358.42,1.39766,1.01131,0.92907,0.34239,0.27291,0.25079,0.14664,1.54129,1.161,0.97371,0.000219198,0.000219198,0.000219198
72,2391.38,1.38724,0.99641,0.92541,0.35472,0.26046,0.257,0.14841,1.54431,1.16119,0.97603,0.000212129,0.000212129,0.000212129
73,2424.32,1.40715,1.00909,0.92796,0.3457,0.27217,0.2572,0.15019,1.53649,1.14858,0.97074,0.000205061,0.000205061,0.000205061
74,2457.16,1.38716,0.98979,0.93087,0.35382,0.26527,0.25656,0.14912,1.5389,1.14992,0.96962,0.000197992,0.000197992,0.000197992
75,2489.93,1.38016,0.99246,0.92775,0.33918,0.26586,0.25594,0.14937,1.54709,1.16215,0.97482,0.000190924,0.000190924,0.000190924
76,2523.14,1.40197,0.99769,0.92785,0.34674,0.27046,0.25814,0.15036,1.53435,1.16115,0.97022,0.000183855,0.000183855,0.000183855
77,2556.37,1.37728,0.98522,0.923,0.34044,0.26544,0.25595,0.14909,1.53561,1.15165,0.96878,0.000176786,0.000176786,0.000176786
78,2589.35,1.38966,0.9876,0.92795,0.3579,0.26439,0.25407,0.14981,1.53025,1.16532,0.97168,0.000169718,0.000169718,0.000169718
79,2622.22,1.37245,0.98688,0.92435,0.37903,0.26825,0.25623,0.15045,1.5329,1.15332,0.97122,0.000162649,0.000162649,0.000162649
80,2655.38,1.38324,0.98745,0.92838,0.35516,0.27113,0.25406,0.15006,1.53789,1.15437,0.96848,0.000155581,0.000155581,0.000155581
81,2688.48,1.37565,0.98284,0.92132,0.37784,0.25966,0.25965,0.1513,1.53266,1.15236,0.97091,0.000148512,0.000148512,0.000148512
82,2721.57,1.38117,0.97532,0.92533,0.38194,0.25905,0.25565,0.14901,1.53493,1.16031,0.97216,0.000141443,0.000141443,0.000141443
83,2754.52,1.37591,0.97468,0.9237,0.36801,0.2652,0.25453,0.14805,1.53449,1.1591,0.97115,0.000134375,0.000134375,0.000134375
84,2787.81,1.38633,0.98743,0.92285,0.36818,0.26878,0.26096,0.15037,1.52277,1.14996,0.96844,0.000127306,0.000127306,0.000127306
85,2820.59,1.34226,0.9499,0.91923,0.34515,0.28124,0.25725,0.15037,1.52089,1.15003,0.96521,0.000120238,0.000120238,0.000120238
86,2853.91,1.38148,0.98115,0.92035,0.35745,0.26262,0.25693,0.14817,1.52779,1.15118,0.97065,0.000113169,0.000113169,0.000113169
87,2886.94,1.37542,0.97084,0.92109,0.36257,0.26264,0.25248,0.14953,1.51825,1.15678,0.96805,0.0001061,0.0001061,0.0001061
88,2920.18,1.35123,0.95137,0.91734,0.33788,0.28107,0.25952,0.14989,1.51687,1.1438,0.96587,9.90318e-05,9.90318e-05,9.90318e-05
89,2953.19,1.37546,0.97362,0.92171,0.35694,0.27397,0.2592,0.15035,1.52564,1.15068,0.96844,9.19632e-05,9.19632e-05,9.19632e-05
90,2986.03,1.34813,0.94165,0.92041,0.36511,0.2724,0.2559,0.14798,1.52804,1.16158,0.97148,8.48946e-05,8.48946e-05,8.48946e-05
91,3052.54,1.35833,0.97035,0.9238,0.33659,0.26436,0.25051,0.14747,1.5463,1.16551,0.97071,7.7826e-05,7.7826e-05,7.7826e-05
92,3084.73,1.34608,0.94797,0.91993,0.34416,0.26456,0.25395,0.14769,1.54068,1.1595,0.9709,7.07574e-05,7.07574e-05,7.07574e-05
