epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.891,1.57305,1.71278,1.02096,0.38688,0.22804,0.20544,0.12189,1.39238,1.13891,0.94656,0.00332819,0.00332819,0.00332819
2,421.11,1.50507,1.24491,0.96626,0.31228,0.23071,0.22028,0.12909,1.40421,1.11269,0.94714,0.00659557,0.00659557,0.00659557
3,557.967,1.52191,1.22824,0.96349,0.31346,0.24208,0.22185,0.12988,1.41479,1.11916,0.94444,0.00979696,0.00979696,0.00979696
4,960.653,1.52861,1.20321,0.96599,0.43971,0.24685,0.24068,0.14184,1.38736,1.09587,0.93891,0.009703,0.009703,0.009703
5,1172.77,1.49788,1.16207,0.95927,0.33924,0.25901,0.24726,0.14621,1.37455,1.07598,0.93695,0.009604,0.009604,0.009604
6,1542.53,1.46806,1.12656,0.94945,0.36079,0.27351,0.25942,0.15362,1.36333,1.04758,0.93623,0.009505,0.009505,0.009505
7,1708.2,1.4501,1.10302,0.94662,0.46306,0.26851,0.2694,0.16076,1.34727,1.02352,0.93082,0.009406,0.009406,0.009406
8,1842.87,1.42713,1.0797,0.94248,0.36,0.28531,0.27781,0.16386,1.33003,0.99235,0.92291,0.009307,0.009307,0.009307
9,2000.03,1.41132,1.06142,0.93821,0.37972,0.28225,0.27501,0.16438,1.3275,0.99776,0.92811,0.009208,0.009208,0.009208
10,2233.44,1.40021,1.04726,0.93532,0.38104,0.28836,0.28424,0.16948,1.31333,0.99145,0.92371,0.009109,0.009109,0.009109
11,2372,1.38732,1.02952,0.92998,0.40295,0.28336,0.28008,0.16688,1.3069,0.98882,0.92236,0.00901,0.00901,0.00901
12,2556.68,1.37451,1.0172,0.92798,0.37831,0.29609,0.2871,0.1707,1.30697,0.97027,0.92265,0.008911,0.008911,0.008911
13,2696.53,1.37894,1.0143,0.92698,0.37774,0.29886,0.29126,0.17387,1.29353,0.96643,0.9152,0.008812,0.008812,0.008812
14,3009.41,1.36418,1.00197,0.92525,0.39399,0.30687,0.30339,0.18259,1.27729,0.95311,0.91161,0.008713,0.008713,0.008713
15,3206.3,1.3574,0.98983,0.92156,0.40352,0.30565,0.30117,0.17987,1.2776,0.94574,0.91358,0.008614,0.008614,0.008614
16,3344.61,1.34646,0.97814,0.92139,0.40249,0.31391,0.30435,0.18336,1.27484,0.9361,0.91552,0.008515,0.008515,0.008515
17,3483.63,1.35085,0.9779,0.92123,0.42121,0.30258,0.30517,0.18395,1.27779,0.93702,0.9155,0.008416,0.008416,0.008416
18,3623.56,1.34208,0.9693,0.92029,0.42894,0.31654,0.31102,0.18731,1.267,0.93652,0.91083,0.008317,0.008317,0.008317
19,3762.64,1.32895,0.95561,0.9159,0.4379,0.30964,0.30877,0.18751,1.26541,0.92948,0.91104,0.008218,0.008218,0.008218
20,3901.69,1.32574,0.9503,0.91437,0.45078,0.3185,0.31717,0.19128,1.25935,0.92006,0.90625,0.008119,0.008119,0.008119
21,4048.7,1.31426,0.93929,0.91382,0.42275,0.32028,0.32173,0.19558,1.24519,0.91072,0.90874,0.00802,0.00802,0.00802
22,4189.48,1.31694,0.93479,0.91212,0.42943,0.31048,0.31418,0.19191,1.24554,0.91963,0.90696,0.007921,0.007921,0.007921
23,4435.87,1.30298,0.92921,0.91158,0.44444,0.31911,0.32572,0.19744,1.24532,0.90535,0.90481,0.007822,0.007822,0.007822
24,4573.21,1.30433,0.92236,0.90911,0.4192,0.3234,0.32327,0.19686,1.24159,0.91129,0.904,0.007723,0.007723,0.007723
25,4711.13,1.30226,0.92049,0.91044,0.42421,0.32794,0.32693,0.19844,1.24047,0.90029,0.90267,0.007624,0.007624,0.007624
26,4893.67,1.29883,0.91792,0.90951,0.42566,0.32787,0.3281,0.19897,1.23835,0.89731,0.90388,0.007525,0.007525,0.007525
27,5031.7,1.29235,0.90888,0.90733,0.4265,0.3275,0.3313,0.20115,1.23691,0.89434,0.90458,0.007426,0.007426,0.007426
28,5181.63,1.29335,0.9077,0.90659,0.43813,0.33017,0.33023,0.20078,1.23123,0.89252,0.90311,0.007327,0.007327,0.007327
29,5649.28,1.27799,0.89592,0.9041,0.43199,0.33392,0.33309,0.20202,1.23259,0.88563,0.90206,0.007228,0.007228,0.007228
30,5785.29,1.27634,0.89399,0.90385,0.431,0.33226,0.33238,0.20121,1.22817,0.88207,0.90175,0.007129,0.007129,0.007129
