epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.893,4.40644,4.33743,3.22191,0.52013,0.02495,0.01851,0.00589,3.2015,2.83404,1.91352,0.00332921,0.00332921,0.00332921
2,330.007,2.74348,2.44828,1.6144,0.57574,0.07319,0.05761,0.02597,2.3128,1.90222,1.37464,0.00659659,0.00659659,0.00659659
3,482.645,2.315,2.08585,1.35951,0.41502,0.10799,0.08266,0.03993,2.05971,1.7316,1.24782,0.00979796,0.00979796,0.00979796
4,634.776,2.09631,1.86301,1.25567,0.54166,0.11994,0.10065,0.05175,1.908,1.5687,1.17063,0.009703,0.009703,0.009703
5,795.283,1.94539,1.70538,1.19188,0.39638,0.15522,0.12849,0.06917,1.74011,1.42733,1.11527,0.009604,0.009604,0.009604
6,947.369,1.85411,1.60159,1.15326,0.31919,0.15575,0.13208,0.07139,1.75254,1.45677,1.11865,0.009505,0.009505,0.009505
7,1099.34,1.78071,1.51128,1.12878,0.40813,0.17859,0.14754,0.08093,1.64311,1.34217,1.08293,0.009406,0.009406,0.009406
8,1272.55,1.72097,1.4426,1.10972,0.44099,0.18338,0.16512,0.09097,1.59425,1.24839,1.06894,0.009307,0.009307,0.009307
9,1425.72,1.70005,1.41283,1.09478,0.46225,0.18358,0.17775,0.09853,1.56523,1.25914,1.06066,0.009208,0.009208,0.009208
10,1579.29,1.67344,1.37567,1.08928,0.47323,0.20098,0.18605,0.10414,1.54324,1.2209,1.05125,0.009109,0.009109,0.009109
11,1731.8,1.63902,1.3376,1.07761,0.47422,0.20318,0.18699,0.10625,1.51565,1.19435,1.03904,0.00901,0.00901,0.00901
12,1884.28,1.60242,1.30646,1.06984,0.49048,0.20858,0.19991,0.11274,1.50689,1.16302,1.03618,0.008911,0.008911,0.008911
13,2036.82,1.58948,1.2809,1.06538,0.40189,0.22034,0.20597,0.11845,1.47379,1.14262,1.02312,0.008812,0.008812,0.008812
14,2188.35,1.57239,1.25771,1.05363,0.40731,0.22387,0.21364,0.12303,1.4587,1.13019,1.01738,0.008713,0.008713,0.008713
15,2340.73,1.56445,1.2446,1.0495,0.3126,0.22845,0.216,0.12507,1.44412,1.11493,1.01263,0.008614,0.008614,0.008614
16,2493.76,1.55593,1.2376,1.0435,0.50496,0.23446,0.22608,0.12997,1.4486,1.11463,1.00741,0.008515,0.008515,0.008515
17,2646.2,1.56706,1.24206,1.03954,0.31309,0.23307,0.22804,0.13177,1.44722,1.11279,1.00732,0.008416,0.008416,0.008416
18,2800.03,1.54446,1.21347,1.02843,0.52115,0.23372,0.22979,0.13126,1.45175,1.11283,1.00243,0.008317,0.008317,0.008317
19,2952.69,1.54109,1.21846,1.02707,0.50691,0.23188,0.23294,0.13319,1.44089,1.09855,0.99972,0.008218,0.008218,0.008218
20,3105.19,1.53449,1.20682,1.01873,0.41283,0.24063,0.2308,0.13478,1.42737,1.1032,0.99082,0.008119,0.008119,0.008119
21,3257.8,1.52327,1.19388,1.01574,0.35002,0.24137,0.23731,0.13799,1.41851,1.08094,0.98722,0.00802,0.00802,0.00802
22,3410.46,1.51029,1.1716,1.01041,0.33528,0.24387,0.24142,0.1407,1.40986,1.07431,0.98621,0.007921,0.007921,0.007921
23,3563,1.51025,1.17568,1.00748,0.429,0.25583,0.24552,0.1427,1.40388,1.06277,0.9836,0.007822,0.007822,0.007822
24,3714.85,1.50146,1.17038,1.00751,0.3494,0.25538,0.24787,0.14556,1.39289,1.05717,0.9803,0.007723,0.007723,0.007723
25,3867.45,1.48517,1.15043,1.00475,0.33699,0.25778,0.24932,0.14486,1.39447,1.05835,0.98037,0.007624,0.007624,0.007624
26,4019.58,1.48237,1.14809,0.99948,0.35895,0.25941,0.25589,0.15072,1.37585,1.03908,0.97557,0.007525,0.007525,0.007525
27,4172.94,1.48213,1.1446,0.99866,0.398,0.25938,0.25355,0.14857,1.37553,1.03743,0.97244,0.007426,0.007426,0.007426
28,4325.1,1.46641,1.13059,0.99684,0.3725,0.2611,0.26136,0.15356,1.36859,1.02833,0.97167,0.007327,0.007327,0.007327
29,4477.23,1.4634,1.12709,0.99322,0.34643,0.26293,0.25564,0.15159,1.36494,1.02605,0.97009,0.007228,0.007228,0.007228
30,4630.24,1.45591,1.11513,0.9911,0.36897,0.27029,0.26312,0.15354,1.3526,1.02135,0.96884,0.007129,0.007129,0.007129
31,4782.65,1.45009,1.10769,0.98881,0.35425,0.27068,0.26307,0.15451,1.35181,1.01047,0.96746,0.00703,0.00703,0.00703
32,4935.95,1.4395,1.09492,0.98926,0.37199,0.26935,0.26578,0.15631,1.34916,1.00557,0.96591,0.006931,0.006931,0.006931
33,5088,1.44383,1.09771,0.98856,0.36012,0.27868,0.26834,0.15984,1.34325,1.00593,0.96612,0.006832,0.006832,0.006832
34,5240.97,1.43638,1.09289,0.98461,0.36045,0.26476,0.27061,0.16139,1.34362,1,0.96466,0.006733,0.006733,0.006733
35,5392.71,1.42825,1.08462,0.98503,0.37023,0.2777,0.27326,0.16165,1.34021,1.00066,0.96191,0.006634,0.006634,0.006634
36,5545.51,1.42136,1.07898,0.97906,0.38746,0.27127,0.27237,0.16168,1.32978,0.9887,0.95893,0.006535,0.006535,0.006535
37,5698.43,1.41871,1.072,0.97947,0.36217,0.27486,0.2717,0.16188,1.32542,0.98877,0.96001,0.006436,0.006436,0.006436
38,5850.33,1.41923,1.07122,0.98074,0.38503,0.27892,0.27699,0.16314,1.3304,0.98884,0.96061,0.006337,0.006337,0.006337
39,6004.35,1.41356,1.06651,0.97722,0.36205,0.28584,0.2793,0.1652,1.32586,0.98562,0.95875,0.006238,0.006238,0.006238
40,6156.35,1.40846,1.06199,0.976,0.36824,0.28103,0.27965,0.16666,1.31864,0.97661,0.95521,0.006139,0.006139,0.006139
41,6310.07,1.39859,1.04787,0.97705,0.37005,0.28668,0.28211,0.16747,1.31781,0.97777,0.95726,0.00604,0.00604,0.00604
42,6461.72,1.39797,1.05304,0.97373,0.37352,0.28464,0.28096,0.16725,1.31698,0.97383,0.95583,0.005941,0.005941,0.005941
43,6614.39,1.39241,1.04621,0.97145,0.37651,0.29233,0.28705,0.1712,1.31436,0.97101,0.95475,0.005842,0.005842,0.005842
44,6767.95,1.39167,1.03962,0.97288,0.37658,0.28925,0.28513,0.17022,1.31353,0.96881,0.95546,0.005743,0.005743,0.005743
45,6921.17,1.38911,1.03754,0.97097,0.38472,0.28693,0.28702,0.17165,1.30834,0.96022,0.95345,0.005644,0.005644,0.005644
46,7075.83,1.38448,1.03417,0.96925,0.38726,0.28858,0.28812,0.17181,1.30473,0.96124,0.95249,0.005545,0.005545,0.005545
47,7230.1,1.38486,1.03401,0.96784,0.38427,0.29162,0.29044,0.1728,1.30648,0.96265,0.95376,0.005446,0.005446,0.005446
48,7382.62,1.37882,1.02553,0.96651,0.36981,0.29169,0.2894,0.17318,1.30066,0.95934,0.95129,0.005347,0.005347,0.005347
49,7535.32,1.37721,1.02375,0.96814,0.40756,0.28237,0.29109,0.17388,1.30207,0.95506,0.95133,0.005248,0.005248,0.005248
50,7689.62,1.37441,1.02131,0.96581,0.38356,0.29308,0.29231,0.17497,1.29866,0.95228,0.94994,0.005149,0.005149,0.005149
51,7842.72,1.3714,1.01776,0.96462,0.402,0.28682,0.29354,0.17573,1.29317,0.9502,0.9505,0.00505,0.00505,0.00505
52,7995.84,1.36445,1.01113,0.96594,0.38579,0.29616,0.29496,0.17541,1.29392,0.94807,0.95093,0.004951,0.004951,0.004951
53,8149.13,1.36578,1.0124,0.96448,0.38374,0.29639,0.29565,0.1763,1.29408,0.9486,0.94965,0.004852,0.004852,0.004852
54,8321.5,1.36374,1.00956,0.9633,0.38584,0.30329,0.29675,0.17808,1.28812,0.9444,0.94868,0.004753,0.004753,0.004753
55,8474.71,1.36861,1.00886,0.96076,0.38584,0.2999,0.29775,0.17826,1.28887,0.94491,0.94774,0.004654,0.004654,0.004654
56,8630.1,1.36294,1.00518,0.96383,0.38924,0.29621,0.29749,0.17786,1.28592,0.94385,0.94783,0.004555,0.004555,0.004555
57,8784.31,1.35686,0.99804,0.96241,0.37752,0.29692,0.29555,0.17785,1.28536,0.94119,0.94739,0.004456,0.004456,0.004456
58,8936.5,1.3537,0.99427,0.96211,0.39479,0.30186,0.30128,0.18028,1.27998,0.93648,0.94571,0.004357,0.004357,0.004357
