epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.888,4.3424,4.16728,3.08557,0.55172,0.03415,0.02395,0.00787,3.11928,2.46935,1.86001,0.00332921,0.00332921,0.00332921
2,528.756,2.76059,2.43703,1.62369,0.49183,0.06912,0.06185,0.02856,2.31648,1.94631,1.36435,0.00659659,0.00659659,0.00659659
3,679.359,2.31352,2.05919,1.36227,0.42059,0.10191,0.08006,0.03809,2.12812,1.76288,1.26028,0.00979796,0.00979796,0.00979796
4,865.527,2.07671,1.8227,1.24962,0.2693,0.13457,0.10608,0.054,1.8788,1.52936,1.17759,0.009703,0.009703,0.009703
5,1014.1,1.92386,1.65596,1.1836,0.29194,0.15394,0.13391,0.07162,1.74451,1.41051,1.12274,0.009604,0.009604,0.009604
6,1158.56,1.84828,1.55776,1.14829,0.31998,0.17949,0.15284,0.08284,1.66318,1.32228,1.09486,0.009505,0.009505,0.009505
7,1298.35,1.76909,1.47313,1.12329,0.3469,0.18336,0.16943,0.09211,1.61938,1.27578,1.07999,0.009406,0.009406,0.009406
8,1437.89,1.71725,1.42219,1.10632,0.45572,0.18626,0.17312,0.09316,1.60272,1.25378,1.06651,0.009307,0.009307,0.009307
9,1575.94,1.66901,1.36561,1.09195,0.37795,0.19668,0.18577,0.0999,1.57264,1.2263,1.05026,0.009208,0.009208,0.009208
10,1714.08,1.63095,1.32268,1.07737,0.29994,0.22122,0.20349,0.11426,1.50569,1.16733,1.03596,0.009109,0.009109,0.009109
11,1852.45,1.61232,1.29449,1.06521,0.3826,0.21284,0.19782,0.11052,1.51018,1.17729,1.03724,0.00901,0.00901,0.00901
12,1990.82,1.5987,1.28335,1.06074,0.40001,0.22262,0.21552,0.12095,1.47849,1.14687,1.02604,0.008911,0.008911,0.008911
13,2129.1,1.59636,1.2686,1.05097,0.31333,0.23712,0.22074,0.12427,1.47737,1.14508,1.01628,0.008812,0.008812,0.008812
14,2268.32,1.57299,1.24566,1.04173,0.34193,0.23155,0.22765,0.12995,1.46395,1.13439,1.0121,0.008713,0.008713,0.008713
15,2408.24,1.57637,1.24166,1.03309,0.33095,0.25254,0.23613,0.13529,1.45985,1.11354,1.00662,0.008614,0.008614,0.008614
16,2548.68,1.55663,1.22506,1.02938,0.33148,0.25139,0.23947,0.13631,1.4474,1.10971,1.00032,0.008515,0.008515,0.008515
17,2687.25,1.54355,1.2162,1.02259,0.33536,0.25311,0.23958,0.137,1.44321,1.09188,0.99747,0.008416,0.008416,0.008416
18,2826.25,1.52541,1.18934,1.0152,0.43034,0.25152,0.24148,0.13895,1.42826,1.10345,0.98992,0.008317,0.008317,0.008317
19,2965.37,1.51572,1.18595,1.01432,0.35587,0.25963,0.2487,0.14163,1.41838,1.07753,0.98576,0.008218,0.008218,0.008218
20,3103.54,1.50112,1.17074,1.00672,0.34424,0.25576,0.25148,0.14358,1.40751,1.06371,0.98414,0.008119,0.008119,0.008119
21,3242.17,1.5043,1.16466,1.00593,0.35438,0.27134,0.25871,0.14969,1.39944,1.06186,0.98486,0.00802,0.00802,0.00802
22,3380.54,1.48747,1.14089,1.00183,0.34621,0.27479,0.25981,0.15059,1.38667,1.05471,0.98082,0.007921,0.007921,0.007921
23,3519.09,1.47215,1.13574,0.99999,0.36106,0.26864,0.2575,0.14958,1.37617,1.03715,0.97221,0.007822,0.007822,0.007822
24,3657.83,1.47077,1.12964,0.99754,0.36047,0.27407,0.25945,0.15165,1.37284,1.03616,0.97368,0.007723,0.007723,0.007723
25,3797.53,1.45429,1.11453,0.99596,0.35122,0.28358,0.26666,0.15479,1.3703,1.03483,0.97308,0.007624,0.007624,0.007624
26,3936.56,1.4529,1.11327,0.99147,0.36415,0.28333,0.27053,0.15735,1.35712,1.0229,0.96994,0.007525,0.007525,0.007525
27,4075.34,1.4523,1.10465,0.98612,0.38388,0.2781,0.26913,0.15773,1.35329,1.01996,0.96714,0.007426,0.007426,0.007426
28,4213.45,1.44119,1.09741,0.98589,0.37761,0.27205,0.2682,0.15634,1.34881,1.01558,0.9663,0.007327,0.007327,0.007327
29,4351.74,1.42857,1.08618,0.98444,0.36346,0.28512,0.27403,0.15965,1.35695,1.01327,0.96737,0.007228,0.007228,0.007228
30,4490.27,1.4309,1.08374,0.98143,0.37486,0.29199,0.27835,0.16137,1.34179,1.00712,0.9641,0.007129,0.007129,0.007129
31,4629.66,1.42457,1.08108,0.98247,0.37174,0.29107,0.2777,0.16224,1.33938,0.99954,0.96465,0.00703,0.00703,0.00703
32,4769.14,1.4259,1.07121,0.97962,0.38746,0.28339,0.27531,0.16157,1.33749,1.00108,0.96351,0.006931,0.006931,0.006931
33,4908.2,1.41639,1.06291,0.97918,0.37193,0.28967,0.28185,0.1646,1.32801,0.99277,0.95804,0.006832,0.006832,0.006832
34,5132.48,1.41894,1.05785,0.97514,0.37085,0.29835,0.2858,0.16843,1.32978,0.98898,0.96249,0.006733,0.006733,0.006733
35,5272.58,1.40764,1.05368,0.97519,0.36768,0.29865,0.28711,0.16897,1.3248,0.98498,0.95924,0.006634,0.006634,0.006634
36,5410.36,1.39801,1.04892,0.97512,0.38706,0.29407,0.28502,0.16881,1.3189,0.98565,0.95607,0.006535,0.006535,0.006535
37,5548.76,1.39129,1.04261,0.97383,0.38234,0.29466,0.28693,0.1695,1.31305,0.97219,0.95655,0.006436,0.006436,0.006436
38,5686.89,1.38724,1.03439,0.97135,0.39159,0.298,0.29253,0.17261,1.30979,0.97032,0.95537,0.006337,0.006337,0.006337
39,5824.75,1.38446,1.03127,0.96851,0.39581,0.30455,0.29589,0.17494,1.30723,0.96394,0.95362,0.006238,0.006238,0.006238
40,5962.99,1.37865,1.02951,0.97117,0.397,0.30447,0.29663,0.17562,1.30368,0.96145,0.95315,0.006139,0.006139,0.006139
41,6100.95,1.37674,1.02221,0.97015,0.40105,0.29583,0.29556,0.1754,1.30041,0.95788,0.95188,0.00604,0.00604,0.00604
42,6238.72,1.37047,1.01608,0.9654,0.39476,0.30538,0.29702,0.17685,1.29488,0.95217,0.94962,0.005941,0.005941,0.005941
43,6376.63,1.37166,1.01683,0.96624,0.41423,0.30159,0.29447,0.17574,1.29517,0.95557,0.94986,0.005842,0.005842,0.005842
44,6514.68,1.37414,1.01658,0.96429,0.3949,0.30233,0.2988,0.17703,1.29613,0.95178,0.94965,0.005743,0.005743,0.005743
45,6653.17,1.36213,1.00423,0.96386,0.40353,0.30019,0.30156,0.17912,1.28951,0.95037,0.94881,0.005644,0.005644,0.005644
46,6791.73,1.35309,0.99555,0.96134,0.39566,0.30629,0.3019,0.18062,1.28404,0.94343,0.94761,0.005545,0.005545,0.005545
47,6929.62,1.35408,0.99666,0.96123,0.39161,0.3121,0.30277,0.18107,1.28598,0.94342,0.94896,0.005446,0.005446,0.005446
48,7068.15,1.35133,0.99429,0.9623,0.38893,0.31323,0.29846,0.17844,1.28365,0.94363,0.9471,0.005347,0.005347,0.005347
49,7206.27,1.35591,0.99329,0.95925,0.39391,0.31791,0.30745,0.18321,1.28138,0.9369,0.94638,0.005248,0.005248,0.005248
50,7344.05,1.3412,0.98063,0.95996,0.40277,0.31446,0.30759,0.18406,1.27981,0.93438,0.94665,0.005149,0.005149,0.005149
51,7522.51,1.34106,0.98029,0.95777,0.39972,0.31597,0.30461,0.18301,1.27682,0.93329,0.9449,0.00505,0.00505,0.00505
52,7661.49,1.34452,0.98477,0.95953,0.40481,0.31346,0.3069,0.18404,1.27834,0.93069,0.94485,0.004951,0.004951,0.004951
53,7799.2,1.34855,0.98035,0.95887,0.3988,0.31951,0.31088,0.18672,1.27014,0.92823,0.94419,0.004852,0.004852,0.004852
54,7937.2,1.33723,0.97222,0.95662,0.40436,0.31351,0.31153,0.18692,1.27036,0.92463,0.94208,0.004753,0.004753,0.004753
55,8075.12,1.33554,0.97425,0.95641,0.40599,0.31472,0.31154,0.18633,1.26784,0.9239,0.94236,0.004654,0.004654,0.004654
56,8213.19,1.33012,0.96548,0.95416,0.40847,0.32102,0.3126,0.18732,1.26735,0.91962,0.94228,0.004555,0.004555,0.004555
57,8351.69,1.3347,0.96469,0.95406,0.40781,0.31322,0.31214,0.18764,1.26805,0.92239,0.94146,0.004456,0.004456,0.004456
58,8490.69,1.32821,0.9632,0.9545,0.41523,0.31882,0.31614,0.18928,1.26493,0.91723,0.94039,0.004357,0.004357,0.004357
59,8629.59,1.32295,0.95535,0.95196,0.42379,0.31179,0.31635,0.1898,1.26415,0.9188,0.94092,0.004258,0.004258,0.004258
60,8768.05,1.3205,0.95338,0.95213,0.42607,0.31566,0.31647,0.18972,1.25942,0.91771,0.93997,0.004159,0.004159,0.004159
61,8906.97,1.31457,0.95113,0.94999,0.41612,0.31593,0.31775,0.19082,1.25868,0.9158,0.94089,0.00406,0.00406,0.00406
62,9045.16,1.31459,0.94541,0.951,0.40581,0.3228,0.31701,0.19113,1.25568,0.91365,0.9395,0.003961,0.003961,0.003961
63,9185.44,1.31205,0.94104,0.95036,0.41097,0.32301,0.31768,0.19082,1.25614,0.91014,0.94015,0.003862,0.003862,0.003862
64,9325.55,1.31747,0.9435,0.95004,0.40237,0.32648,0.31795,0.19174,1.25697,0.91351,0.94029,0.003763,0.003763,0.003763
65,9463.35,1.30907,0.93692,0.94878,0.42001,0.32092,0.32006,0.19294,1.25552,0.90943,0.93886,0.003664,0.003664,0.003664
66,9601.43,1.30828,0.93744,0.94973,0.415,0.32142,0.32087,0.19358,1.25442,0.90798,0.93808,0.003565,0.003565,0.003565
67,9739.61,1.30933,0.9376,0.94777,0.41291,0.3281,0.32029,0.19269,1.25262,0.90876,0.93803,0.003466,0.003466,0.003466
68,9877.58,1.29978,0.92875,0.94585,0.41618,0.32233,0.32169,0.1939,1.25136,0.90778,0.939,0.003367,0.003367,0.003367
