epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.844,4.40459,4.2217,3.28092,0.50893,0.03118,0.01043,0.00344,3.42556,6.61185,2.0039,0.00332819,0.00332819,0.00332819
2,396.111,2.87021,2.52697,1.6999,0.37833,0.07331,0.05622,0.02531,2.41752,1.97646,1.39802,0.00659557,0.00659557,0.00659557
3,529.125,2.39017,2.12294,1.39103,0.41438,0.10011,0.07613,0.03697,2.10404,1.76677,1.25199,0.00979696,0.00979696,0.00979696
4,874.647,2.14408,1.87012,1.26962,0.34134,0.12813,0.1021,0.05212,1.91027,1.54183,1.17179,0.009703,0.009703,0.009703
5,1070.1,1.97505,1.69411,1.20054,0.30757,0.1534,0.12769,0.06748,1.7808,1.42288,1.12136,0.009604,0.009604,0.009604
6,1275.01,1.86284,1.57572,1.15084,0.29759,0.1662,0.13483,0.07161,1.73668,1.36477,1.1051,0.009505,0.009505,0.009505
7,1407.77,1.80123,1.50118,1.13324,0.25988,0.18183,0.16206,0.08871,1.65129,1.28597,1.08299,0.009406,0.009406,0.009406
8,1539.84,1.74146,1.42798,1.11364,0.37124,0.18322,0.16865,0.09202,1.60643,1.23669,1.06835,0.009307,0.009307,0.009307
9,1701.88,1.69776,1.39214,1.10023,0.26783,0.19241,0.17883,0.09748,1.56407,1.2117,1.05523,0.009208,0.009208,0.009208
10,1833.71,1.66498,1.34854,1.08516,0.29368,0.1979,0.18294,0.10017,1.55538,1.1945,1.0508,0.009109,0.009109,0.009109
11,1966.72,1.63408,1.31006,1.07232,0.40158,0.20887,0.19488,0.10857,1.51373,1.16665,1.03341,0.00901,0.00901,0.00901
12,2100.75,1.61137,1.28518,1.06778,0.31627,0.20458,0.20284,0.11453,1.49834,1.14841,1.03346,0.008911,0.008911,0.008911
13,2234.28,1.60201,1.26809,1.06061,0.29729,0.22347,0.20651,0.11727,1.46265,1.12036,1.01714,0.008812,0.008812,0.008812
14,2368.29,1.57974,1.25036,1.05546,0.3775,0.22173,0.2163,0.12311,1.44996,1.10075,1.01121,0.008713,0.008713,0.008713
15,2502.11,1.56061,1.22189,1.04481,0.32067,0.23893,0.22729,0.1299,1.43671,1.08043,1.00978,0.008614,0.008614,0.008614
16,2635.86,1.546,1.20941,1.04106,0.32864,0.23923,0.22804,0.12981,1.4404,1.08505,1.00631,0.008515,0.008515,0.008515
17,2767.83,1.5639,1.21626,1.04129,0.32247,0.23513,0.22832,0.13227,1.44538,1.09183,1.00402,0.008416,0.008416,0.008416
18,2903.47,1.56046,1.20694,1.03472,0.33312,0.24672,0.23494,0.13414,1.44368,1.08451,0.99678,0.008317,0.008317,0.008317
19,3035.55,1.54291,1.19217,1.02348,0.32631,0.25383,0.24286,0.13972,1.43488,1.08178,0.99487,0.008218,0.008218,0.008218
20,3167.33,1.53271,1.18281,1.01791,0.34613,0.25,0.24374,0.14104,1.41854,1.07439,0.98543,0.008119,0.008119,0.008119
21,3490.15,1.51874,1.1709,1.01554,0.34356,0.2598,0.24995,0.14473,1.40658,1.06158,0.98389,0.00802,0.00802,0.00802
22,3622.83,1.51884,1.15831,1.01074,0.34787,0.2569,0.25426,0.14711,1.40217,1.05943,0.98149,0.007921,0.007921,0.007921
23,3759.57,1.50036,1.15096,1.00814,0.35471,0.26248,0.25197,0.14656,1.39696,1.04395,0.97844,0.007822,0.007822,0.007822
24,3892.27,1.49399,1.14119,1.0026,0.35159,0.25962,0.25177,0.14826,1.38441,1.04617,0.97392,0.007723,0.007723,0.007723
25,4024.62,1.49018,1.13861,1.00338,0.3504,0.26954,0.25876,0.14985,1.38047,1.03834,0.97152,0.007624,0.007624,0.007624
26,4157.59,1.48175,1.13267,0.99956,0.36857,0.27072,0.26322,0.15351,1.3703,1.02438,0.97098,0.007525,0.007525,0.007525
27,4289.54,1.47514,1.11984,0.99645,0.34227,0.27578,0.26505,0.15379,1.36734,1.02357,0.96872,0.007426,0.007426,0.007426
28,4588.12,1.47082,1.11625,0.99296,0.36764,0.272,0.26552,0.15403,1.36247,1.01492,0.96623,0.007327,0.007327,0.007327
29,4725.08,1.45369,1.10018,0.98987,0.35072,0.27854,0.26548,0.15511,1.36307,1.01402,0.96779,0.007228,0.007228,0.007228
30,4857.19,1.44698,1.09452,0.98782,0.36616,0.27703,0.26857,0.15734,1.35246,1.00794,0.96679,0.007129,0.007129,0.007129
31,4989.05,1.44875,1.09157,0.9869,0.3655,0.27657,0.26991,0.15707,1.34602,1.0056,0.96273,0.00703,0.00703,0.00703
32,5121.64,1.4467,1.08522,0.98582,0.37298,0.2757,0.26848,0.1568,1.34427,1.00461,0.9613,0.006931,0.006931,0.006931
33,5263.83,1.43376,1.07824,0.98513,0.37176,0.28079,0.27062,0.15778,1.34853,0.99818,0.96227,0.006832,0.006832,0.006832
