epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,609.359,3.97999,3.76185,2.8013,0.54017,0.02836,0.02673,0.00925,2.97883,2.39678,1.77226,0.00332819,0.00332819,0.00332819
2,1250.71,2.69652,2.38344,1.57622,0.31328,0.06932,0.05663,0.0248,2.49578,2.01424,1.39405,0.00659557,0.00659557,0.00659557
3,1501.83,2.31676,2.04218,1.35105,0.42278,0.09923,0.08195,0.03894,2.13586,1.72212,1.25596,0.00979696,0.00979696,0.00979696
4,2725.64,2.09592,1.8043,1.24559,0.39276,0.15162,0.12113,0.06117,1.85673,1.4829,1.15388,0.009703,0.009703,0.009703
5,2978.91,1.94557,1.64116,1.18621,0.34211,0.15546,0.14078,0.07377,1.75965,1.39246,1.11215,0.009604,0.009604,0.009604
6,3738.15,1.84539,1.53328,1.14168,0.24326,0.17086,0.14709,0.07606,1.74169,1.36056,1.10216,0.009505,0.009505,0.009505
7,3933.46,1.78577,1.4638,1.12422,0.28256,0.19327,0.17664,0.09473,1.64628,1.26737,1.0742,0.009406,0.009406,0.009406
8,4125.96,1.73272,1.40244,1.10643,0.26144,0.19676,0.17393,0.09379,1.61988,1.24577,1.06857,0.009307,0.009307,0.009307
9,4513.42,1.69326,1.36359,1.09411,0.33384,0.20384,0.19268,0.10593,1.55823,1.1966,1.04848,0.009208,0.009208,0.009208
10,4708.56,1.66677,1.3309,1.08179,0.31136,0.21153,0.19906,0.10725,1.5561,1.19648,1.04644,0.009109,0.009109,0.009109
11,4901.75,1.6493,1.30344,1.06779,0.31768,0.21953,0.20529,0.11199,1.54615,1.17214,1.03242,0.00901,0.00901,0.00901
12,5251.17,1.64523,1.296,1.06168,0.32869,0.2173,0.20881,0.11524,1.55494,1.18575,1.03035,0.008911,0.008911,0.008911
13,5443.77,1.64144,1.28513,1.05136,0.31511,0.2344,0.21641,0.12069,1.53077,1.1719,1.01633,0.008812,0.008812,0.008812
14,5640.12,1.6216,1.27262,1.04518,0.32277,0.2322,0.21922,0.12277,1.51123,1.15319,1.00936,0.008713,0.008713,0.008713
15,5835.61,1.60594,1.24847,1.03485,0.33328,0.24145,0.23282,0.13139,1.4889,1.12674,1.00401,0.008614,0.008614,0.008614
16,6028.19,1.58413,1.23083,1.02917,0.3332,0.24973,0.23616,0.13124,1.48211,1.12625,0.999,0.008515,0.008515,0.008515
17,6261.27,1.58685,1.22884,1.02936,0.34495,0.24466,0.23812,0.13246,1.47951,1.11323,1.00208,0.008416,0.008416,0.008416
18,6455.82,1.57228,1.21005,1.0251,0.35243,0.25134,0.24423,0.13648,1.4535,1.09753,0.99065,0.008317,0.008317,0.008317
19,6647.89,1.55037,1.19078,1.01547,0.34262,0.25804,0.2463,0.13961,1.44492,1.08236,0.987,0.008218,0.008218,0.008218
20,6840.09,1.53919,1.17916,1.01202,0.35758,0.25624,0.25151,0.1428,1.43911,1.07689,0.98682,0.008119,0.008119,0.008119
21,7076.32,1.52603,1.16908,1.01083,0.37572,0.26212,0.25574,0.14443,1.42669,1.07507,0.98402,0.00802,0.00802,0.00802
22,7270.84,1.52574,1.15534,1.00644,0.38142,0.25502,0.25641,0.14538,1.42079,1.0682,0.98346,0.007921,0.007921,0.007921
23,7466.62,1.50997,1.14796,1.00548,0.3736,0.26479,0.2641,0.14996,1.40781,1.04839,0.97836,0.007822,0.007822,0.007822
24,7764.26,1.50454,1.13951,1.00103,0.36455,0.26863,0.26353,0.15052,1.41486,1.05656,0.97873,0.007723,0.007723,0.007723
25,8060.5,1.50119,1.13567,1.00212,0.38134,0.26971,0.26756,0.1527,1.39401,1.04397,0.97364,0.007624,0.007624,0.007624
26,8254.2,1.49084,1.1281,0.99805,0.37,0.27523,0.26635,0.15192,1.39733,1.03883,0.9733,0.007525,0.007525,0.007525
27,8446.43,1.48812,1.11723,0.99583,0.37698,0.28084,0.27339,0.15641,1.38587,1.03365,0.96919,0.007426,0.007426,0.007426
28,8644.91,1.48117,1.11173,0.99201,0.37632,0.27911,0.27552,0.15989,1.38552,1.0232,0.97041,0.007327,0.007327,0.007327
29,8849.2,1.46517,1.09655,0.98981,0.36991,0.28024,0.27446,0.1592,1.37636,1.02088,0.96815,0.007228,0.007228,0.007228
30,9042.39,1.462,1.09217,0.98837,0.38587,0.28373,0.27833,0.16016,1.37224,1.00861,0.96843,0.007129,0.007129,0.007129
31,9234.64,1.46195,1.09107,0.98702,0.3738,0.28031,0.27647,0.15871,1.3665,1.01249,0.9644,0.00703,0.00703,0.00703
32,9426.92,1.45906,1.08257,0.98632,0.39525,0.28269,0.27893,0.16044,1.36006,1.01033,0.96222,0.006931,0.006931,0.006931
33,9635.95,1.44475,1.07304,0.98495,0.38537,0.28758,0.2798,0.16103,1.36294,1.00318,0.96419,0.006832,0.006832,0.006832
34,9835.69,1.44808,1.07151,0.981,0.38937,0.28822,0.28641,0.16611,1.35581,0.99727,0.96239,0.006733,0.006733,0.006733
35,10029.8,1.43822,1.05947,0.98079,0.39582,0.28267,0.2845,0.16602,1.35345,0.99443,0.96119,0.006634,0.006634,0.006634
36,10225.4,1.43703,1.06023,0.98281,0.39738,0.29402,0.28888,0.16794,1.34376,0.98603,0.95858,0.006535,0.006535,0.006535
37,10444.3,1.43642,1.0588,0.98083,0.39832,0.29043,0.28884,0.16785,1.3475,0.98776,0.95993,0.006436,0.006436,0.006436
38,10832.6,1.42913,1.04626,0.97835,0.38964,0.29877,0.29212,0.16991,1.33985,0.98333,0.9573,0.006337,0.006337,0.006337
39,11028.4,1.41909,1.04133,0.97502,0.38815,0.29177,0.28611,0.16709,1.34218,0.99126,0.95791,0.006238,0.006238,0.006238
40,11326.5,1.42209,1.04645,0.97585,0.38923,0.2952,0.2892,0.16792,1.3391,0.97965,0.95751,0.006139,0.006139,0.006139
41,11901.9,1.41252,1.0325,0.97682,0.42211,0.2907,0.29664,0.17332,1.33196,0.97316,0.95502,0.00604,0.00604,0.00604
42,12094.4,1.41032,1.03215,0.9758,0.40621,0.29985,0.29808,0.1729,1.32929,0.9687,0.95483,0.005941,0.005941,0.005941
43,12289.3,1.40766,1.02813,0.96907,0.40478,0.29239,0.29533,0.17326,1.32651,0.96764,0.95477,0.005842,0.005842,0.005842
44,12480.2,1.40454,1.01883,0.97047,0.41313,0.29553,0.29573,0.17175,1.32488,0.96592,0.95366,0.005743,0.005743,0.005743
45,13076.2,1.40346,1.02025,0.97143,0.40048,0.30017,0.29935,0.17482,1.32384,0.96629,0.95435,0.005644,0.005644,0.005644
46,13571.7,1.3993,1.01319,0.96966,0.4059,0.30059,0.30214,0.17681,1.32059,0.96248,0.95218,0.005545,0.005545,0.005545
47,13762.2,1.38373,1.00157,0.96484,0.40497,0.30435,0.30381,0.17756,1.31679,0.95924,0.95164,0.005446,0.005446,0.005446
48,13969.8,1.39165,1.00684,0.96726,0.40926,0.30313,0.30219,0.17689,1.31321,0.95726,0.94998,0.005347,0.005347,0.005347
49,14163.2,1.38022,0.9988,0.96556,0.40061,0.30838,0.30535,0.17829,1.31209,0.955,0.95013,0.005248,0.005248,0.005248
50,14355.5,1.38669,0.99849,0.96502,0.40738,0.30394,0.30501,0.17873,1.3125,0.95415,0.95016,0.005149,0.005149,0.005149
51,14631.4,1.37522,0.98968,0.96339,0.42029,0.30224,0.30686,0.17999,1.3078,0.94953,0.94905,0.00505,0.00505,0.00505
52,14873.5,1.38456,0.98953,0.96335,0.4261,0.30431,0.30718,0.17892,1.30554,0.94779,0.9473,0.004951,0.004951,0.004951
53,15103.6,1.38246,0.989,0.96302,0.41098,0.306,0.30608,0.17984,1.30513,0.94791,0.94758,0.004852,0.004852,0.004852
54,15554.2,1.37873,0.98777,0.96471,0.41982,0.30861,0.31461,0.1839,1.30154,0.94303,0.94634,0.004753,0.004753,0.004753
55,15746.1,1.37587,0.98465,0.96415,0.41393,0.3091,0.31165,0.18348,1.30156,0.94358,0.94725,0.004654,0.004654,0.004654
56,16073.6,1.36915,0.97758,0.95902,0.43144,0.30208,0.31209,0.18295,1.29559,0.93896,0.94456,0.004555,0.004555,0.004555
57,16598,1.35929,0.96984,0.96079,0.42416,0.30803,0.31187,0.18199,1.2993,0.94113,0.94608,0.004456,0.004456,0.004456
58,17112.3,1.36517,0.9732,0.96065,0.41265,0.31351,0.31302,0.18332,1.29581,0.93745,0.94464,0.004357,0.004357,0.004357
59,17446.3,1.35347,0.96489,0.95805,0.41244,0.30874,0.31271,0.18371,1.29191,0.93873,0.94337,0.004258,0.004258,0.004258
60,17640.6,1.35585,0.96248,0.95708,0.42591,0.30749,0.31225,0.18392,1.29148,0.9366,0.94362,0.004159,0.004159,0.004159
61,17868.2,1.34952,0.95929,0.95612,0.42099,0.31205,0.31286,0.18466,1.28988,0.93341,0.94279,0.00406,0.00406,0.00406
62,18714.2,1.34887,0.95673,0.9546,0.42136,0.31128,0.31628,0.18573,1.28871,0.93073,0.94365,0.003961,0.003961,0.003961
63,18905.2,1.35019,0.95073,0.95719,0.4184,0.31055,0.3171,0.18628,1.28462,0.92722,0.94246,0.003862,0.003862,0.003862
64,19114,1.3517,0.95675,0.95648,0.43226,0.31464,0.31872,0.18777,1.28587,0.92731,0.94205,0.003763,0.003763,0.003763
65,19310,1.34342,0.94611,0.95377,0.4362,0.31067,0.32017,0.18882,1.28472,0.92438,0.94201,0.003664,0.003664,0.003664
66,19535.4,1.34336,0.94522,0.9518,0.43761,0.31423,0.32147,0.1904,1.28426,0.92416,0.94214,0.003565,0.003565,0.003565
67,19727.5,1.33399,0.94009,0.95323,0.43859,0.31463,0.31983,0.18878,1.28419,0.92333,0.94123,0.003466,0.003466,0.003466
68,20005.1,1.33653,0.94136,0.95171,0.42809,0.31876,0.32023,0.18892,1.28308,0.92074,0.94167,0.003367,0.003367,0.003367
69,20196.1,1.32938,0.93395,0.95223,0.44693,0.31257,0.3213,0.19024,1.28426,0.91882,0.94199,0.003268,0.003268,0.003268
70,20503.5,1.33273,0.93668,0.95382,0.4346,0.31458,0.32093,0.18939,1.28067,0.91809,0.94062,0.003169,0.003169,0.003169
71,20769.4,1.33551,0.93238,0.95105,0.442,0.31444,0.32236,0.19057,1.27903,0.91743,0.94005,0.00307,0.00307,0.00307
72,21188.3,1.32915,0.93041,0.94957,0.43057,0.31827,0.32304,0.19102,1.2808,0.9171,0.94086,0.002971,0.002971,0.002971
73,21382.6,1.32294,0.9235,0.95003,0.43434,0.31808,0.32236,0.19082,1.28067,0.91751,0.94067,0.002872,0.002872,0.002872
74,21869.8,1.32561,0.92138,0.94609,0.42982,0.31796,0.32219,0.19,1.27947,0.91661,0.9407,0.002773,0.002773,0.002773
75,22061.6,1.3236,0.92229,0.94788,0.42289,0.3181,0.32279,0.19083,1.27677,0.91678,0.93972,0.002674,0.002674,0.002674
76,22260.2,1.31356,0.91243,0.94666,0.42796,0.32084,0.32451,0.19137,1.27556,0.91431,0.93921,0.002575,0.002575,0.002575
77,22453.4,1.32568,0.91864,0.94809,0.43251,0.3223,0.32469,0.19215,1.27451,0.91341,0.93902,0.002476,0.002476,0.002476
78,22645.7,1.31551,0.91245,0.94693,0.43228,0.32211,0.32388,0.19186,1.27481,0.91227,0.93881,0.002377,0.002377,0.002377
79,22837.3,1.31457,0.9113,0.94573,0.42412,0.3286,0.32619,0.19281,1.27322,0.91012,0.93776,0.002278,0.002278,0.002278
80,23033.7,1.31491,0.90917,0.94669,0.41873,0.32662,0.32522,0.19157,1.27399,0.91312,0.93839,0.002179,0.002179,0.002179
81,23236.9,1.30613,0.90359,0.94273,0.42898,0.3236,0.32496,0.19198,1.273,0.91303,0.9376,0.00208,0.00208,0.00208
82,23433.9,1.31244,0.90378,0.94274,0.43103,0.31991,0.32404,0.19236,1.27297,0.9116,0.93776,0.001981,0.001981,0.001981
83,23664.4,1.31696,0.90735,0.94339,0.4344,0.32225,0.32592,0.19235,1.2752,0.91232,0.93845,0.001882,0.001882,0.001882
84,24224.7,1.29968,0.89789,0.94333,0.43183,0.32321,0.32727,0.19321,1.27301,0.90992,0.93777,0.001783,0.001783,0.001783
