epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.347,6.8938,9.9059,3.31982,0.82026,0.02218,0.01909,0.00602,4.96458,6.46492,1.96042,0.00332921,0.00332921,0.00332921
2,659.581,4.33757,5.73622,1.67157,0.50702,0.07692,0.06247,0.02785,3.78435,4.5522,1.42533,0.00659659,0.00659659,0.00659659
3,972.827,3.69954,4.86753,1.38915,0.50069,0.08647,0.06744,0.03153,3.71378,4.53627,1.32062,0.00979796,0.00979796,0.00979796
4,1283.31,3.35061,4.29867,1.26481,0.27669,0.14511,0.11272,0.05934,2.97719,3.60377,1.18175,0.009703,0.009703,0.009703
5,1584.93,3.0855,3.89522,1.19918,0.29811,0.16151,0.13315,0.07042,2.83017,3.38997,1.13595,0.009604,0.009604,0.009604
6,1900.06,2.93044,3.64064,1.1542,0.3364,0.17919,0.15315,0.08358,2.70944,3.21988,1.10961,0.009505,0.009505,0.009505
7,2209.93,2.83775,3.46833,1.13556,0.37874,0.18945,0.16735,0.09103,2.5994,3.06049,1.08881,0.009406,0.009406,0.009406
8,2511.97,2.74687,3.31147,1.10795,0.47611,0.19498,0.18449,0.10071,2.52803,2.93431,1.07326,0.009307,0.009307,0.009307
9,2853.96,2.6884,3.22481,1.10258,0.30018,0.20556,0.19589,0.10861,2.49712,2.84653,1.06928,0.009208,0.009208,0.009208
10,3160.51,2.62996,3.12738,1.08591,0.30606,0.21262,0.20204,0.11309,2.42547,2.81068,1.04821,0.009109,0.009109,0.009109
11,3523.32,2.58475,3.06208,1.07692,0.3065,0.21827,0.20732,0.11712,2.38965,2.75042,1.03959,0.00901,0.00901,0.00901
12,3825.64,2.55618,3.00999,1.07192,0.32516,0.22439,0.21892,0.12309,2.37865,2.70513,1.04102,0.008911,0.008911,0.008911
13,4127.75,2.51267,2.94756,1.06116,0.30851,0.23539,0.22032,0.1251,2.34679,2.66912,1.02631,0.008812,0.008812,0.008812
14,4429.34,2.49118,2.87471,1.05396,0.35267,0.24065,0.23688,0.13663,2.30802,2.59127,1.02095,0.008713,0.008713,0.008713
15,4731.87,2.47264,2.85134,1.04921,0.34632,0.24938,0.23997,0.13764,2.29177,2.56504,1.01971,0.008614,0.008614,0.008614
16,5033.73,2.44556,2.81203,1.04622,0.43941,0.24625,0.24224,0.13891,2.27132,2.55979,1.01286,0.008515,0.008515,0.008515
17,5335.93,2.42233,2.76782,1.03728,0.38057,0.25788,0.25198,0.14392,2.25456,2.50969,1.00843,0.008416,0.008416,0.008416
18,5638.14,2.40306,2.74268,1.03378,0.3539,0.25815,0.25143,0.14347,2.23138,2.49634,1.00209,0.008317,0.008317,0.008317
19,5939.92,2.37959,2.68714,1.02856,0.36179,0.26886,0.25744,0.14764,2.24302,2.48823,1.00252,0.008218,0.008218,0.008218
20,6242.42,2.39433,2.71341,1.02512,0.36378,0.26038,0.26048,0.14937,2.25296,2.52069,0.99891,0.008119,0.008119,0.008119
21,6544.71,2.39633,2.70393,1.01976,0.37048,0.26335,0.26047,0.15123,2.24038,2.48728,0.9943,0.00802,0.00802,0.00802
22,6846.19,2.39244,2.68849,1.01751,0.37967,0.27195,0.26714,0.15442,2.23321,2.49305,0.99136,0.007921,0.007921,0.007921
23,7154.29,2.3773,2.66673,1.01387,0.37385,0.27616,0.2704,0.15611,2.21834,2.47417,0.98668,0.007822,0.007822,0.007822
24,7458.82,2.35351,2.64111,1.00657,0.37846,0.27151,0.26679,0.15533,2.21744,2.47605,0.98489,0.007723,0.007723,0.007723
25,7761.73,2.37095,2.66697,1.00701,0.35373,0.28497,0.27279,0.15793,2.20478,2.46796,0.98154,0.007624,0.007624,0.007624
26,8072.26,2.34346,2.61712,1.0009,0.38592,0.28383,0.27538,0.1607,2.18626,2.42074,0.97776,0.007525,0.007525,0.007525
27,8374.15,2.33214,2.60181,0.99744,0.38049,0.27868,0.27621,0.16011,2.19,2.42004,0.97822,0.007426,0.007426,0.007426
28,8675.97,2.32634,2.59173,0.99412,0.38455,0.28476,0.27812,0.16195,2.17035,2.40798,0.97347,0.007327,0.007327,0.007327
29,8977.92,2.31086,2.56539,0.99596,0.39617,0.28751,0.28353,0.16614,2.17457,2.4017,0.97193,0.007228,0.007228,0.007228
30,9280.06,2.29557,2.54184,0.98994,0.39511,0.29598,0.28892,0.16786,2.15655,2.37245,0.97109,0.007129,0.007129,0.007129
31,9582.06,2.2925,2.54074,0.98877,0.41918,0.28984,0.28445,0.16505,2.1555,2.37562,0.96952,0.00703,0.00703,0.00703
32,9883.97,2.27524,2.51472,0.98665,0.39574,0.28799,0.28786,0.16933,2.14326,2.38303,0.96803,0.006931,0.006931,0.006931
33,10186.3,2.27696,2.51781,0.98792,0.39913,0.2921,0.28868,0.16958,2.13175,2.34665,0.96516,0.006832,0.006832,0.006832
34,10488,2.2745,2.4985,0.98446,0.39273,0.29942,0.29403,0.17241,2.12955,2.3321,0.96624,0.006733,0.006733,0.006733
35,10789.9,2.25602,2.48004,0.98392,0.40879,0.29578,0.29265,0.17263,2.11854,2.32952,0.96325,0.006634,0.006634,0.006634
36,11092.3,2.25709,2.47026,0.98041,0.39024,0.29972,0.29522,0.17392,2.11594,2.32044,0.96219,0.006535,0.006535,0.006535
37,11397.1,2.24357,2.44872,0.97752,0.4028,0.29586,0.29821,0.17634,2.10663,2.30085,0.96159,0.006436,0.006436,0.006436
38,11699.7,2.2271,2.44237,0.97983,0.39549,0.30382,0.29865,0.17674,2.10569,2.30223,0.9611,0.006337,0.006337,0.006337
39,12002.1,2.2362,2.44262,0.97749,0.40628,0.29991,0.30263,0.17772,2.09891,2.28185,0.95857,0.006238,0.006238,0.006238
40,12304.3,2.22593,2.42011,0.97648,0.39529,0.311,0.30282,0.17767,2.09329,2.28157,0.95909,0.006139,0.006139,0.006139
41,12626.3,2.22408,2.42755,0.97434,0.39613,0.31031,0.30367,0.18057,2.08875,2.26963,0.95756,0.00604,0.00604,0.00604
42,12928.3,2.20763,2.39988,0.97228,0.41369,0.30591,0.30851,0.18323,2.08225,2.26637,0.95766,0.005941,0.005941,0.005941
43,13231,2.21292,2.39361,0.97242,0.39453,0.30565,0.30527,0.18184,2.07744,2.25843,0.95617,0.005842,0.005842,0.005842
44,13533.4,2.19187,2.37247,0.97028,0.40137,0.31222,0.3079,0.18352,2.07392,2.26057,0.95494,0.005743,0.005743,0.005743
45,13865,2.18674,2.35813,0.9686,0.41503,0.30507,0.3085,0.18418,2.06755,2.24911,0.95427,0.005644,0.005644,0.005644
46,14167.6,2.18161,2.35411,0.96828,0.40536,0.30818,0.30963,0.18473,2.06365,2.24048,0.95278,0.005545,0.005545,0.005545
47,14470.1,2.17892,2.35422,0.9688,0.39903,0.31125,0.30962,0.18416,2.06848,2.24816,0.95445,0.005446,0.005446,0.005446
48,14773.6,2.18423,2.3379,0.96675,0.39982,0.31565,0.30786,0.18217,2.05871,2.23345,0.95272,0.005347,0.005347,0.005347
49,15079,2.16615,2.32335,0.96696,0.41952,0.31258,0.31544,0.18688,2.05063,2.21615,0.95085,0.005248,0.005248,0.005248
50,15381.7,2.16427,2.32122,0.96575,0.43386,0.31086,0.31717,0.18952,2.04864,2.21712,0.95074,0.005149,0.005149,0.005149
51,15700.9,2.1603,2.3043,0.96457,0.42587,0.31911,0.31748,0.19085,2.0448,2.21254,0.95078,0.00505,0.00505,0.00505
52,16003,2.15514,2.2993,0.96176,0.42244,0.31842,0.31694,0.1902,2.04578,2.20248,0.9501,0.004951,0.004951,0.004951
53,16304.7,2.15348,2.2954,0.96449,0.42128,0.31776,0.31602,0.18981,2.04604,2.21174,0.95052,0.004852,0.004852,0.004852
54,16607.3,2.15046,2.27802,0.95933,0.42156,0.31603,0.31742,0.18952,2.04879,2.19702,0.94903,0.004753,0.004753,0.004753
55,16909.1,2.14441,2.28007,0.96152,0.4318,0.3175,0.32194,0.19318,2.04143,2.19159,0.94894,0.004654,0.004654,0.004654
56,17212,2.15154,2.27997,0.9601,0.4234,0.32074,0.3204,0.19145,2.03294,2.18699,0.94714,0.004555,0.004555,0.004555
57,17523.8,2.14124,2.26792,0.95982,0.41852,0.32421,0.32136,0.19254,2.03496,2.18697,0.94869,0.004456,0.004456,0.004456
58,17863.3,2.14668,2.2687,0.9604,0.43213,0.32054,0.32285,0.19303,2.03868,2.1837,0.9476,0.004357,0.004357,0.004357
59,18190.1,2.13176,2.23843,0.95803,0.43793,0.31854,0.32235,0.19301,2.03028,2.18143,0.94635,0.004258,0.004258,0.004258
60,18493,2.13388,2.23631,0.95573,0.41222,0.3336,0.32444,0.19331,2.03139,2.17415,0.94585,0.004159,0.004159,0.004159
