epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8833,1.65071,2.07455,1.04877,0.41446,0.18207,0.15635,0.09033,1.62137,1.37685,1.0063,0.000236898,0.000236898,0.000236898
2,76.6797,1.55246,1.38032,0.98992,0.31571,0.18887,0.16013,0.09116,1.63833,1.35614,1.00931,0.000470197,0.000470197,0.000470197
3,111.358,1.52099,1.31282,0.98589,0.37929,0.20313,0.20085,0.11924,1.55101,1.2921,0.99613,0.000698783,0.000698783,0.000698783
4,146.549,1.49381,1.25951,0.97732,0.28388,0.21767,0.20834,0.12337,1.57362,1.24776,0.99561,0.000692794,0.000692794,0.000692794
5,180.674,1.47364,1.23897,0.9703,0.39723,0.21978,0.22215,0.13193,1.5492,1.22148,0.98082,0.000685726,0.000685726,0.000685726
6,214.727,1.4732,1.18609,0.96937,0.38198,0.24191,0.21615,0.12801,1.53451,1.18945,0.97696,0.000678657,0.000678657,0.000678657
7,248.942,1.47141,1.18858,0.96392,0.30606,0.25181,0.23221,0.1411,1.51323,1.19316,0.97848,0.000671588,0.000671588,0.000671588
8,283.116,1.4413,1.14414,0.95706,0.31379,0.24793,0.23487,0.13813,1.51897,1.15337,0.97264,0.00066452,0.00066452,0.00066452
9,317.037,1.41646,1.10564,0.95276,0.34574,0.23955,0.2246,0.13252,1.57224,1.19331,0.99126,0.000657451,0.000657451,0.000657451
10,351.087,1.42182,1.11838,0.9513,0.34878,0.23295,0.23477,0.1426,1.51033,1.15683,0.97714,0.000650383,0.000650383,0.000650383
11,385.398,1.41762,1.09443,0.94685,0.28859,0.26913,0.24447,0.14456,1.48328,1.19012,0.96423,0.000643314,0.000643314,0.000643314
12,419.618,1.41067,1.09204,0.94952,0.3232,0.25555,0.24883,0.14618,1.51082,1.17694,0.9699,0.000636245,0.000636245,0.000636245
13,454.001,1.38745,1.06124,0.94214,0.34313,0.25381,0.24729,0.14811,1.49086,1.13103,0.96996,0.000629177,0.000629177,0.000629177
14,488.264,1.39846,1.05581,0.94162,0.40497,0.25803,0.24883,0.14913,1.46975,1.14674,0.96422,0.000622108,0.000622108,0.000622108
15,522.233,1.36788,1.04607,0.94235,0.41609,0.25784,0.25015,0.14929,1.49649,1.11968,0.96827,0.00061504,0.00061504,0.00061504
16,556.532,1.37122,1.03415,0.94106,0.33151,0.28185,0.26606,0.16049,1.47549,1.12002,0.96276,0.000607971,0.000607971,0.000607971
17,590.661,1.37244,1.03414,0.93491,0.45328,0.25897,0.25955,0.1566,1.47099,1.12794,0.9628,0.000600902,0.000600902,0.000600902
18,625.309,1.36445,1.02612,0.93783,0.45536,0.26035,0.259,0.15351,1.46113,1.10693,0.96302,0.000593834,0.000593834,0.000593834
19,661.107,1.37012,1.01403,0.93465,0.33789,0.28563,0.26791,0.16047,1.48079,1.15017,0.96655,0.000586765,0.000586765,0.000586765
20,695.17,1.34929,1.00274,0.93606,0.3701,0.2842,0.26936,0.168,1.45203,1.10503,0.96714,0.000579697,0.000579697,0.000579697
21,729.316,1.33474,0.97502,0.93482,0.34601,0.27506,0.26837,0.15931,1.46889,1.11065,0.96331,0.000572628,0.000572628,0.000572628
22,763.179,1.33588,0.99207,0.93126,0.34956,0.26432,0.26395,0.15728,1.45121,1.10575,0.96046,0.000565559,0.000565559,0.000565559
23,797.995,1.32972,0.96496,0.92444,0.35805,0.27094,0.27183,0.16233,1.45422,1.11467,0.96207,0.000558491,0.000558491,0.000558491
24,831.972,1.32978,0.96205,0.92664,0.38313,0.28602,0.27638,0.16811,1.44956,1.09524,0.96669,0.000551422,0.000551422,0.000551422
25,865.9,1.3278,0.95564,0.92624,0.35945,0.28082,0.26771,0.15924,1.45584,1.09101,0.96216,0.000544354,0.000544354,0.000544354
26,899.987,1.33182,0.96056,0.92723,0.49175,0.25504,0.26337,0.15866,1.42879,1.10902,0.95638,0.000537285,0.000537285,0.000537285
27,933.85,1.31224,0.9489,0.92134,0.36609,0.28999,0.27472,0.16036,1.44974,1.09386,0.96413,0.000530216,0.000530216,0.000530216
28,967.62,1.31482,0.93975,0.91902,0.33204,0.29297,0.27431,0.16277,1.43603,1.08413,0.95948,0.000523148,0.000523148,0.000523148
29,1001.56,1.33436,0.94769,0.92056,0.39252,0.28007,0.27424,0.16364,1.43838,1.08953,0.96006,0.000516079,0.000516079,0.000516079
30,1035.45,1.30682,0.92829,0.92088,0.37816,0.28351,0.27265,0.16228,1.45543,1.10119,0.9621,0.000509011,0.000509011,0.000509011
31,1069.15,1.30635,0.91849,0.91717,0.42819,0.26342,0.28185,0.16693,1.43681,1.07577,0.96228,0.000501942,0.000501942,0.000501942
