epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.215,4.87289,4.63593,3.77373,0.40848,0.01428,0.00402,0.00104,3.94839,3.25901,2.83273,0.000236898,0.000236898,0.000236898
2,82.1123,3.65213,3.00944,2.46757,0.51566,0.01217,0.00814,0.00233,3.73777,2.97222,2.3498,0.000470197,0.000470197,0.000470197
3,120.645,3.2776,2.66596,2.0635,0.44381,0.03259,0.02283,0.00808,3.20039,2.51413,1.89484,0.000698783,0.000698783,0.000698783
4,158.075,2.96248,2.40884,1.81934,0.75126,0.03101,0.03167,0.01202,2.97194,2.43225,1.64387,0.000692794,0.000692794,0.000692794
5,195.144,2.75429,2.28353,1.67079,0.3902,0.06404,0.04095,0.01622,2.8067,2.21415,1.59127,0.000685726,0.000685726,0.000685726
6,232.217,2.60683,2.17015,1.58104,0.57989,0.05576,0.04969,0.02261,2.58448,2.03242,1.5257,0.000678657,0.000678657,0.000678657
7,269.875,2.5182,2.08462,1.51112,0.62272,0.06035,0.05473,0.02668,2.48819,2.00525,1.44234,0.000671588,0.000671588,0.000671588
8,307.339,2.41083,2.02559,1.45246,0.49678,0.07299,0.05721,0.02582,2.57671,1.99013,1.42708,0.00066452,0.00066452,0.00066452
9,344.575,2.33329,1.94062,1.41569,0.50355,0.07598,0.06411,0.03036,2.45658,1.87754,1.3895,0.000657451,0.000657451,0.000657451
10,381.793,2.29672,1.90746,1.38972,0.53549,0.07484,0.0667,0.0339,2.42673,1.87155,1.36558,0.000650383,0.000650383,0.000650383
11,419.313,2.26287,1.8555,1.35281,0.39928,0.09454,0.07264,0.03521,2.31404,1.87584,1.32871,0.000643314,0.000643314,0.000643314
12,456.704,2.21103,1.81354,1.33784,0.42188,0.09212,0.07603,0.03737,2.28539,1.74618,1.29162,0.000636245,0.000636245,0.000636245
13,493.809,2.16061,1.77773,1.31252,0.41589,0.09535,0.07323,0.03734,2.18414,1.72508,1.2715,0.000629177,0.000629177,0.000629177
14,530.766,2.14729,1.762,1.29784,0.54824,0.08681,0.08588,0.04358,2.16755,1.66478,1.26133,0.000622108,0.000622108,0.000622108
15,567.871,2.06285,1.70509,1.27692,0.33485,0.10395,0.08649,0.04352,2.15788,1.66364,1.26944,0.00061504,0.00061504,0.00061504
16,605.794,2.05717,1.70966,1.27541,0.43149,0.10088,0.07959,0.04026,2.32602,1.79858,1.27975,0.000607971,0.000607971,0.000607971
17,643.321,2.05597,1.68064,1.25669,0.4343,0.11544,0.0919,0.04579,2.1925,1.67775,1.24334,0.000600902,0.000600902,0.000600902
18,680.877,2.0351,1.67834,1.24953,0.47298,0.11698,0.09883,0.05219,2.10956,1.65673,1.23336,0.000593834,0.000593834,0.000593834
19,718.404,2.05489,1.67218,1.23864,0.3598,0.12515,0.09973,0.0516,2.10363,1.64797,1.21515,0.000586765,0.000586765,0.000586765
20,755.52,2.00731,1.66171,1.22954,0.35597,0.12699,0.10454,0.05367,2.13425,1.59929,1.22597,0.000579697,0.000579697,0.000579697
21,792.839,1.9891,1.6142,1.22516,0.28486,0.13136,0.1079,0.05687,2.1202,1.59869,1.22067,0.000572628,0.000572628,0.000572628
22,830.087,1.97199,1.614,1.20034,0.24935,0.13394,0.1043,0.05476,2.08086,1.59029,1.19295,0.000565559,0.000565559,0.000565559
23,867.392,1.968,1.59855,1.18731,0.37661,0.13358,0.11247,0.0587,2.06903,1.56934,1.17775,0.000558491,0.000558491,0.000558491
24,904.695,1.95431,1.57516,1.18435,0.35978,0.1524,0.11948,0.06102,2.04276,1.54849,1.18142,0.000551422,0.000551422,0.000551422
25,942.41,1.92522,1.56912,1.1762,0.38883,0.14257,0.11594,0.05857,2.03756,1.54579,1.18327,0.000544354,0.000544354,0.000544354
26,980.057,1.94285,1.56387,1.17784,0.36131,0.14559,0.11717,0.06188,2.03893,1.55863,1.17177,0.000537285,0.000537285,0.000537285
27,1017.49,1.91429,1.55861,1.163,0.39499,0.14254,0.12852,0.06687,2.00158,1.50497,1.15806,0.000530216,0.000530216,0.000530216
28,1054.71,1.91889,1.5483,1.15034,0.42883,0.13202,0.12229,0.0655,2.06109,1.52375,1.18093,0.000523148,0.000523148,0.000523148
29,1092.04,1.92704,1.5452,1.15092,0.4065,0.14871,0.12981,0.06845,1.96725,1.47312,1.14785,0.000516079,0.000516079,0.000516079
