epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9822,4.75078,4.39936,3.60551,0.51176,0.01547,0.0064,0.00175,3.76522,2.73997,2.54765,0.000236898,0.000236898,0.000236898
2,94.9328,3.48062,2.88692,2.22588,0.71938,0.01634,0.01966,0.00537,3.47191,2.79217,2.08149,0.000470197,0.000470197,0.000470197
3,138.953,3.08994,2.55761,1.85096,0.35064,0.05197,0.0359,0.01345,2.9024,2.34663,1.69198,0.000698783,0.000698783,0.000698783
4,183.287,2.77586,2.31459,1.64126,0.36489,0.06817,0.04672,0.0189,2.75805,2.21658,1.51341,0.000692794,0.000692794,0.000692794
5,227.41,2.58809,2.19151,1.53205,0.3804,0.08115,0.05555,0.02372,2.56803,2.07407,1.45575,0.000685726,0.000685726,0.000685726
6,272.012,2.45517,2.08944,1.46166,0.52065,0.07657,0.06441,0.02968,2.4845,1.99581,1.41331,0.000678657,0.000678657,0.000678657
7,317.118,2.39355,2.01461,1.41042,0.41275,0.08931,0.07019,0.03576,2.39671,1.89308,1.36529,0.000671588,0.000671588,0.000671588
8,361.753,2.2751,1.94449,1.36178,0.50361,0.08488,0.07147,0.034,2.49583,1.92994,1.35507,0.00066452,0.00066452,0.00066452
9,405.973,2.20789,1.85936,1.33465,0.43855,0.10376,0.08651,0.04284,2.2823,1.7625,1.30043,0.000657451,0.000657451,0.000657451
10,450.19,2.17895,1.84516,1.31563,0.3461,0.10906,0.09245,0.0462,2.22411,1.73009,1.283,0.000650383,0.000650383,0.000650383
11,494.624,2.12654,1.78722,1.27782,0.46423,0.10784,0.09878,0.05028,2.1942,1.77894,1.25808,0.000643314,0.000643314,0.000643314
12,539.454,2.08682,1.75335,1.26454,0.44767,0.11171,0.09151,0.04541,2.3318,1.79432,1.27981,0.000636245,0.000636245,0.000636245
13,583.495,2.05943,1.71724,1.24845,0.36716,0.1181,0.10193,0.05123,2.14692,1.73427,1.24269,0.000629177,0.000629177,0.000629177
14,628.413,2.04235,1.70425,1.23122,0.45975,0.11477,0.09849,0.04886,2.17686,1.7166,1.2358,0.000622108,0.000622108,0.000622108
15,673.318,1.97279,1.64744,1.21452,0.37143,0.13535,0.1153,0.05969,2.08475,1.60005,1.2159,0.00061504,0.00061504,0.00061504
16,718.018,1.97683,1.65575,1.2149,0.38887,0.11151,0.11143,0.05853,2.09337,1.65933,1.20515,0.000607971,0.000607971,0.000607971
17,762.4,1.96457,1.62788,1.19031,0.29748,0.12073,0.104,0.0535,2.10303,1.66097,1.19217,0.000600902,0.000600902,0.000600902
18,806.813,1.9535,1.6248,1.1927,0.35793,0.14456,0.12165,0.06312,2.00247,1.61944,1.18234,0.000593834,0.000593834,0.000593834
19,851.88,1.95432,1.60223,1.17924,0.26156,0.15405,0.11882,0.06172,2.01947,1.6016,1.16259,0.000586765,0.000586765,0.000586765
20,896.217,1.90681,1.58508,1.17471,0.43892,0.15612,0.12911,0.06744,2.00487,1.5659,1.15853,0.000579697,0.000579697,0.000579697
21,940.574,1.8964,1.55265,1.1745,0.19952,0.1464,0.12701,0.06809,1.96962,1.53114,1.15661,0.000572628,0.000572628,0.000572628
