epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.982,4.8965,4.68852,3.72305,0.51006,0.01509,0.0044,0.0012,3.91501,3.04259,2.67593,0.000236898,0.000236898,0.000236898
2,77.1013,3.56618,3.03606,2.37255,0.81393,0.01037,0.00768,0.00231,3.75139,3.05723,2.32747,0.000470197,0.000470197,0.000470197
3,111.935,3.14216,2.65033,1.93047,0.36745,0.04414,0.02988,0.01081,3.03692,2.41503,1.76736,0.000698783,0.000698783,0.000698783
4,147.133,2.84437,2.39636,1.70032,0.36699,0.06365,0.04579,0.01894,2.78671,2.23829,1.54856,0.000692794,0.000692794,0.000692794
5,181.734,2.65874,2.2526,1.57448,0.47984,0.07971,0.05518,0.0229,2.6077,2.14474,1.49128,0.000685726,0.000685726,0.000685726
6,216.239,2.51055,2.14505,1.49483,0.48381,0.07353,0.05786,0.02678,2.48949,2.01601,1.44994,0.000678657,0.000678657,0.000678657
7,251.216,2.44341,2.05129,1.44076,0.38651,0.08553,0.06333,0.03015,2.41099,1.93018,1.40904,0.000671588,0.000671588,0.000671588
8,285.911,2.33424,1.98436,1.39195,0.27306,0.09211,0.0631,0.03022,2.54475,1.9977,1.39316,0.00066452,0.00066452,0.00066452
9,320.668,2.26956,1.91543,1.36992,0.38209,0.09457,0.0724,0.0355,2.29917,1.82554,1.32995,0.000657451,0.000657451,0.000657451
10,355.287,2.23422,1.8911,1.34343,0.51967,0.09165,0.07791,0.03915,2.2536,1.85131,1.30886,0.000650383,0.000650383,0.000650383
11,389.877,2.18725,1.83515,1.30753,0.52123,0.10436,0.08465,0.04121,2.20846,1.80849,1.30382,0.000643314,0.000643314,0.000643314
12,424.832,2.14766,1.79602,1.29725,0.29705,0.10223,0.07582,0.03664,2.4123,1.85179,1.314,0.000636245,0.000636245,0.000636245
13,459.509,2.09744,1.75758,1.27525,0.35454,0.11214,0.09196,0.04554,2.16383,1.6916,1.26521,0.000629177,0.000629177,0.000629177
14,494.357,2.09052,1.7438,1.26243,0.53906,0.10814,0.09356,0.0459,2.22454,1.79765,1.25233,0.000622108,0.000622108,0.000622108
15,529.191,2.00907,1.69489,1.24533,0.2384,0.12578,0.10017,0.05223,2.0572,1.62644,1.23541,0.00061504,0.00061504,0.00061504
16,564.091,2.01323,1.69508,1.24894,0.34016,0.12188,0.09616,0.04879,2.14414,1.71942,1.2334,0.000607971,0.000607971,0.000607971
17,598.722,2.00823,1.67505,1.22491,0.35816,0.12793,0.10457,0.05379,2.12624,1.68126,1.2288,0.000600902,0.000600902,0.000600902
18,633.222,2.00316,1.67612,1.22615,0.27492,0.12462,0.10488,0.05133,2.11769,1.64437,1.23168,0.000593834,0.000593834,0.000593834
19,667.865,1.99751,1.649,1.21217,0.248,0.1399,0.11135,0.05854,2.05438,1.60138,1.19583,0.000586765,0.000586765,0.000586765
20,702.161,1.95394,1.63839,1.20798,0.27663,0.15449,0.11923,0.06228,2.03763,1.58088,1.18021,0.000579697,0.000579697,0.000579697
21,736.646,1.94008,1.59924,1.20537,0.14919,0.12594,0.10144,0.05432,2.07457,1.6623,1.20908,0.000572628,0.000572628,0.000572628
22,770.91,1.91195,1.59438,1.17942,0.37741,0.14221,0.11996,0.06236,2.00739,1.58909,1.16849,0.000565559,0.000565559,0.000565559
23,805.246,1.91505,1.56792,1.17237,0.27203,0.1578,0.12461,0.0653,2.01517,1.58072,1.17378,0.000558491,0.000558491,0.000558491
24,839.821,1.90885,1.56384,1.17154,0.36293,0.15691,0.1196,0.06164,1.99518,1.54395,1.15998,0.000551422,0.000551422,0.000551422
25,874.397,1.88848,1.54998,1.16483,0.29578,0.15777,0.13505,0.07247,1.9543,1.488,1.15691,0.000544354,0.000544354,0.000544354
26,909.033,1.90156,1.54784,1.1651,0.2702,0.16921,0.13718,0.07096,1.93295,1.50722,1.14991,0.000537285,0.000537285,0.000537285
27,943.382,1.87693,1.55111,1.15538,0.28913,0.16064,0.13501,0.07173,1.94805,1.48231,1.15063,0.000530216,0.000530216,0.000530216
28,977.746,1.85988,1.5174,1.13495,0.39778,0.16226,0.13597,0.07369,1.94449,1.49999,1.14478,0.000523148,0.000523148,0.000523148
29,1012.36,1.88429,1.5292,1.14158,0.39737,0.17658,0.14361,0.07617,1.89659,1.45613,1.1365,0.000516079,0.000516079,0.000516079
30,1046.57,1.83839,1.50706,1.13955,0.30598,0.15614,0.13793,0.07595,1.94562,1.49874,1.14654,0.000509011,0.000509011,0.000509011
31,1080.72,1.83365,1.48063,1.12993,0.3241,0.18786,0.15062,0.08008,1.89586,1.464,1.11926,0.000501942,0.000501942,0.000501942
32,1114.88,1.83536,1.48873,1.13489,0.36269,0.16375,0.15009,0.07943,1.91277,1.46732,1.13961,0.000494873,0.000494873,0.000494873
33,1149.21,1.79108,1.45664,1.12414,0.2229,0.17526,0.15356,0.08445,1.87467,1.45076,1.12298,0.000487805,0.000487805,0.000487805
34,1183.49,1.79755,1.45861,1.11735,0.33146,0.16736,0.14877,0.08018,1.91414,1.45579,1.13761,0.000480736,0.000480736,0.000480736
35,1217.84,1.78508,1.43802,1.10937,0.24717,0.18039,0.15392,0.08389,1.85689,1.45255,1.10813,0.000473668,0.000473668,0.000473668
