epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2799,5.03702,4.87113,3.76668,0.60935,0.00843,0.00329,0.00092,4.0243,3.0076,2.74082,0.000236898,0.000236898,0.000236898
2,73.5236,3.62059,3.10785,2.4022,0.81339,0.01551,0.01154,0.0036,3.55767,2.95678,2.16876,0.000470197,0.000470197,0.000470197
3,106.738,3.19809,2.72759,1.9648,0.34229,0.03684,0.02668,0.01007,2.96794,2.45047,1.77323,0.000698783,0.000698783,0.000698783
4,140.027,2.9048,2.46648,1.73299,0.13842,0.10035,0.04137,0.01708,2.78639,2.27783,1.59524,0.000692794,0.000692794,0.000692794
5,173.493,2.68704,2.30702,1.59687,0.47838,0.0702,0.05005,0.02094,2.67926,2.25935,1.50688,0.000685726,0.000685726,0.000685726
6,207.27,2.53703,2.18272,1.51289,0.48175,0.0676,0.0557,0.02529,2.50371,2.03062,1.46107,0.000678657,0.000678657,0.000678657
7,240.931,2.44738,2.08693,1.44949,0.54443,0.06341,0.06366,0.03137,2.51198,1.97029,1.41239,0.000671588,0.000671588,0.000671588
8,274.388,2.33451,2.02154,1.39215,0.40311,0.0838,0.06473,0.03107,2.53715,1.94732,1.38612,0.00066452,0.00066452,0.00066452
9,307.614,2.26718,1.94542,1.3661,0.50998,0.09434,0.07311,0.03601,2.31247,1.84032,1.33307,0.000657451,0.000657451,0.000657451
10,342.007,2.22345,1.90509,1.33511,0.514,0.09471,0.07457,0.03582,2.32202,1.86022,1.31664,0.000650383,0.000650383,0.000650383
11,375.246,2.17712,1.85129,1.29912,0.53359,0.10022,0.0838,0.04198,2.2552,1.81234,1.29855,0.000643314,0.000643314,0.000643314
12,408.762,2.12148,1.80138,1.28164,0.46832,0.09985,0.08493,0.04129,2.30181,1.80314,1.27899,0.000636245,0.000636245,0.000636245
13,442.222,2.07303,1.76209,1.25839,0.454,0.11574,0.09544,0.04737,2.14933,1.70687,1.25273,0.000629177,0.000629177,0.000629177
14,476.107,2.07479,1.76078,1.24564,0.54775,0.10653,0.09978,0.05187,2.10995,1.67736,1.23792,0.000622108,0.000622108,0.000622108
