epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4828,5.07219,4.92188,3.87896,0.71152,0.00891,0.00318,0.00086,4.07111,3.05324,3.05203,0.000236898,0.000236898,0.000236898
2,87.5425,3.65729,3.12532,2.49779,0.61628,0.01393,0.01246,0.00373,3.51896,2.86458,2.20903,0.000470197,0.000470197,0.000470197
3,126.876,3.21521,2.71215,1.99779,0.34535,0.04546,0.0246,0.00842,3.15304,2.43032,1.8394,0.000698783,0.000698783,0.000698783
4,165.992,2.93681,2.45517,1.76822,0.47036,0.06382,0.03769,0.01478,3.05951,2.3952,1.63985,0.000692794,0.000692794,0.000692794
5,204.68,2.75329,2.31192,1.6394,0.41319,0.07605,0.05309,0.02205,2.70224,2.1563,1.5584,0.000685726,0.000685726,0.000685726
6,243.509,2.59002,2.19428,1.55249,0.38108,0.06887,0.05783,0.02638,2.57553,2.0683,1.50601,0.000678657,0.000678657,0.000678657
7,282.623,2.49944,2.09303,1.48642,0.50395,0.08384,0.06366,0.03072,2.49777,1.94933,1.43339,0.000671588,0.000671588,0.000671588
8,321.356,2.38727,2.02901,1.42931,0.51026,0.08585,0.06758,0.03288,2.39113,1.90426,1.38733,0.00066452,0.00066452,0.00066452
9,360.014,2.29698,1.92578,1.39445,0.50584,0.09231,0.0702,0.03424,2.35535,1.82333,1.36283,0.000657451,0.000657451,0.000657451
10,398.466,2.25157,1.8942,1.3641,0.50228,0.09599,0.07891,0.03869,2.25203,1.82192,1.3265,0.000650383,0.000650383,0.000650383
11,437.348,2.20544,1.84293,1.32702,0.48169,0.10201,0.08576,0.04218,2.21142,1.73468,1.29336,0.000643314,0.000643314,0.000643314
12,476.318,2.14944,1.79103,1.30872,0.40346,0.10858,0.07772,0.03797,2.39533,1.82579,1.3223,0.000636245,0.000636245,0.000636245
13,514.964,2.11455,1.76108,1.28765,0.44928,0.11267,0.09189,0.04551,2.16634,1.67512,1.2736,0.000629177,0.000629177,0.000629177
14,553.872,2.0955,1.73979,1.2701,0.5533,0.09423,0.09072,0.04495,2.18152,1.76362,1.26978,0.000622108,0.000622108,0.000622108
15,593.337,2.00474,1.68928,1.25108,0.45431,0.11967,0.09975,0.05113,2.06593,1.61666,1.24569,0.00061504,0.00061504,0.00061504
16,643.092,1.99883,1.69118,1.25003,0.34927,0.11828,0.09945,0.04939,2.11515,1.69591,1.23958,0.000607971,0.000607971,0.000607971
17,691.691,1.99406,1.66577,1.22842,0.46088,0.11608,0.10088,0.05191,2.11002,1.63272,1.2379,0.000600902,0.000600902,0.000600902
18,740.566,1.9737,1.65512,1.2279,0.37058,0.12895,0.10345,0.04974,2.06341,1.58372,1.22712,0.000593834,0.000593834,0.000593834
19,788.569,1.96129,1.61956,1.21286,0.27995,0.13083,0.11093,0.05717,2.0234,1.58068,1.20286,0.000586765,0.000586765,0.000586765
20,837.835,1.91431,1.60659,1.20839,0.36954,0.14021,0.11725,0.06218,1.98451,1.52908,1.18924,0.000579697,0.000579697,0.000579697
21,882.026,1.89024,1.56768,1.20437,0.2679,0.14208,0.11812,0.06426,1.98929,1.58764,1.19387,0.000572628,0.000572628,0.000572628
22,916.946,1.87612,1.56729,1.18339,0.25974,0.14271,0.1218,0.06375,1.96713,1.4909,1.17882,0.000565559,0.000565559,0.000565559
23,952.015,1.87081,1.5294,1.17412,0.29523,0.14688,0.12278,0.06403,2.00035,1.50981,1.17779,0.000558491,0.000558491,0.000558491
24,987.545,1.85475,1.52006,1.17035,0.2476,0.15215,0.12483,0.06537,1.96069,1.49961,1.1705,0.000551422,0.000551422,0.000551422
25,1022.89,1.83501,1.50786,1.16427,0.2804,0.15026,0.1279,0.06758,1.94095,1.46401,1.16121,0.000544354,0.000544354,0.000544354
26,1058.19,1.84403,1.49691,1.16482,0.28569,0.15369,0.13086,0.06967,1.91565,1.45261,1.14932,0.000537285,0.000537285,0.000537285
27,1093.49,1.82632,1.50449,1.15402,0.29355,0.15356,0.13158,0.06792,1.96256,1.51508,1.15796,0.000530216,0.000530216,0.000530216
28,1128.54,1.81054,1.47643,1.14009,0.38674,0.15388,0.13313,0.07219,1.91064,1.48762,1.15071,0.000523148,0.000523148,0.000523148
29,1163.69,1.83317,1.48369,1.14506,0.41484,0.16174,0.13926,0.07398,1.8851,1.44934,1.14419,0.000516079,0.000516079,0.000516079
30,1198.35,1.78697,1.47414,1.14366,0.31954,0.15096,0.13632,0.07273,1.91728,1.46854,1.15791,0.000509011,0.000509011,0.000509011
31,1233.2,1.79125,1.44373,1.13517,0.3098,0.17988,0.14581,0.07577,1.88326,1.42849,1.14225,0.000501942,0.000501942,0.000501942
32,1268.18,1.78317,1.44459,1.13711,0.35411,0.17546,0.15563,0.08174,1.8506,1.4024,1.13778,0.000494873,0.000494873,0.000494873
33,1303.36,1.73998,1.4124,1.12951,0.29173,0.18286,0.15029,0.07978,1.85407,1.41466,1.12779,0.000487805,0.000487805,0.000487805
34,1338.26,1.75455,1.41374,1.1231,0.30947,0.17188,0.14176,0.07542,1.89858,1.43646,1.14004,0.000480736,0.000480736,0.000480736
35,1373,1.7471,1.39343,1.11466,0.32848,0.1894,0.15346,0.08026,1.87406,1.43525,1.12103,0.000473668,0.000473668,0.000473668
36,1408.12,1.74579,1.39965,1.11514,0.4566,0.17228,0.15789,0.08317,1.84411,1.41297,1.12279,0.000466599,0.000466599,0.000466599
37,1443.4,1.76277,1.40088,1.11344,0.34747,0.1808,0.15057,0.07913,1.89281,1.42251,1.12963,0.00045953,0.00045953,0.00045953
38,1478.31,1.75141,1.41495,1.11005,0.32462,0.16378,0.15262,0.07818,1.92633,1.43399,1.13184,0.000452462,0.000452462,0.000452462
39,1513.57,1.76937,1.40525,1.1141,0.3139,0.18074,0.15116,0.08527,1.86383,1.40565,1.11231,0.000445393,0.000445393,0.000445393
40,1548.84,1.75586,1.40305,1.11585,0.32223,0.18659,0.16415,0.08749,1.83753,1.39595,1.10927,0.000438325,0.000438325,0.000438325
41,1584.05,1.75517,1.39803,1.10397,0.33799,0.18447,0.15983,0.08531,1.85746,1.40186,1.10363,0.000431256,0.000431256,0.000431256
42,1618.8,1.7501,1.39393,1.10555,0.35395,0.18365,0.16386,0.08677,1.85079,1.41393,1.1021,0.000424187,0.000424187,0.000424187
43,1653.5,1.70948,1.36425,1.09288,0.36641,0.18229,0.16977,0.09182,1.85458,1.38697,1.12102,0.000417119,0.000417119,0.000417119
44,1688.49,1.6988,1.35483,1.0895,0.44975,0.17754,0.16361,0.08645,1.85898,1.38691,1.10212,0.00041005,0.00041005,0.00041005
45,1723.37,1.71178,1.35689,1.09164,0.34916,0.19993,0.1652,0.09087,1.82216,1.38727,1.10128,0.000402982,0.000402982,0.000402982
46,1758.11,1.74201,1.39332,1.09337,0.3384,0.18255,0.16194,0.09022,1.84521,1.38682,1.10571,0.000395913,0.000395913,0.000395913
47,1793.05,1.70821,1.35246,1.0808,0.26437,0.18119,0.16931,0.09215,1.83732,1.37357,1.09629,0.000388844,0.000388844,0.000388844
48,1828.09,1.69403,1.34228,1.08484,0.34908,0.20119,0.1735,0.09602,1.81795,1.35849,1.09166,0.000381776,0.000381776,0.000381776
49,1863.15,1.72697,1.36659,1.08339,0.34302,0.19416,0.17299,0.0945,1.79681,1.34927,1.08138,0.000374707,0.000374707,0.000374707
