epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.0252,5.23081,5.25622,3.92571,0.70318,0.00284,0.0009,0.00022,4.4521,3.54283,3.19065,0.000236898,0.000236898,0.000236898
2,101.388,4.14706,3.83015,2.85275,0.21234,0.01172,0.00355,0.00096,3.85926,3.06114,2.38234,0.000470197,0.000470197,0.000470197
3,143.026,3.71976,3.27922,2.30193,0.21721,0.01944,0.00952,0.00285,3.54635,2.87034,2.07726,0.000698783,0.000698783,0.000698783
4,184.563,3.47215,3.05488,2.01842,0.23331,0.01864,0.01301,0.0042,3.35173,2.79529,1.83847,0.000692794,0.000692794,0.000692794
5,225.822,3.31544,2.93518,1.85535,0.52327,0.02477,0.02024,0.00655,3.23545,2.76075,1.74293,0.000685726,0.000685726,0.000685726
6,267.424,3.20119,2.87281,1.74822,0.01718,0.06467,0.0212,0.00758,3.20873,2.67796,1.67248,0.000678657,0.000678657,0.000678657
7,308.983,3.15369,2.8002,1.67449,0.25861,0.03594,0.02424,0.0088,3.17666,2.63274,1.62936,0.000671588,0.000671588,0.000671588
8,350.315,3.04565,2.74429,1.61589,0.55577,0.03996,0.02742,0.01016,3.01279,2.53127,1.56319,0.00066452,0.00066452,0.00066452
9,391.431,2.96984,2.65883,1.57111,0.45467,0.04372,0.03028,0.01214,3.02783,2.54745,1.51848,0.000657451,0.000657451,0.000657451
10,432.322,2.91322,2.62654,1.53001,0.3693,0.04376,0.03522,0.01404,2.8689,2.4591,1.4913,0.000650383,0.000650383,0.000650383
11,473.782,2.88296,2.57788,1.49809,0.57704,0.05139,0.0379,0.01595,2.8073,2.39078,1.4735,0.000643314,0.000643314,0.000643314
12,515.369,2.81795,2.52841,1.47889,0.49286,0.04479,0.03888,0.0159,2.79887,2.42205,1.43166,0.000636245,0.000636245,0.000636245
13,556.797,2.77169,2.48666,1.45073,0.37864,0.0504,0.04178,0.01847,2.74385,2.35742,1.41148,0.000629177,0.000629177,0.000629177
14,599.493,2.72999,2.45998,1.41991,0.48893,0.05569,0.0452,0.01947,2.72549,2.33473,1.3933,0.000622108,0.000622108,0.000622108
15,641.1,2.64974,2.41735,1.4029,0.49331,0.05776,0.0467,0.02009,2.62404,2.2818,1.37343,0.00061504,0.00061504,0.00061504
16,682.195,2.63633,2.40508,1.39348,0.39068,0.06309,0.05036,0.02222,2.57731,2.26206,1.37257,0.000607971,0.000607971,0.000607971
17,723.905,2.61058,2.3512,1.36604,0.49283,0.0654,0.04731,0.02045,2.6303,2.36238,1.36397,0.000600902,0.000600902,0.000600902
18,765.255,2.58336,2.36002,1.36112,0.3764,0.06104,0.04907,0.02206,2.51409,2.19366,1.35686,0.000593834,0.000593834,0.000593834
19,806.751,2.58032,2.33472,1.34575,0.38863,0.08015,0.05534,0.02471,2.51768,2.19987,1.31787,0.000586765,0.000586765,0.000586765
20,848.243,2.51537,2.30356,1.34127,0.78318,0.03949,0.05323,0.02409,2.53487,2.26071,1.29791,0.000579697,0.000579697,0.000579697
21,889.477,2.48798,2.26107,1.32843,0.36987,0.07233,0.05875,0.02741,2.47109,2.13365,1.29962,0.000572628,0.000572628,0.000572628
22,930.7,2.47046,2.2551,1.30449,0.48438,0.08024,0.05742,0.02601,2.48108,2.17634,1.27686,0.000565559,0.000565559,0.000565559
23,972.262,2.468,2.20269,1.28979,0.49705,0.0844,0.05989,0.02745,2.40839,2.1291,1.28155,0.000558491,0.000558491,0.000558491
24,1013.4,2.43925,2.19129,1.28091,0.49175,0.0818,0.06237,0.03027,2.41077,2.10624,1.2715,0.000551422,0.000551422,0.000551422
25,1054.86,2.41348,2.17855,1.27325,0.49283,0.07894,0.06382,0.03036,2.39054,2.03723,1.27163,0.000544354,0.000544354,0.000544354
26,1096.25,2.42131,2.15322,1.27376,0.48885,0.08165,0.06255,0.02988,2.38775,2.03787,1.27879,0.000537285,0.000537285,0.000537285
27,1137.37,2.41183,2.16595,1.26571,0.50228,0.08594,0.06793,0.03277,2.3707,1.99762,1.23954,0.000530216,0.000530216,0.000530216
28,1178.65,2.37592,2.12431,1.2403,0.50885,0.07812,0.06707,0.0317,2.3456,1.98814,1.23823,0.000523148,0.000523148,0.000523148
29,1220.06,2.38834,2.12522,1.2405,0.48263,0.08764,0.06756,0.03256,2.40546,2.02898,1.23131,0.000516079,0.000516079,0.000516079
30,1261.02,2.34306,2.09813,1.23281,0.49951,0.08475,0.07045,0.03382,2.3712,1.97996,1.23144,0.000509011,0.000509011,0.000509011
31,1302.04,2.32832,2.06883,1.22803,0.40571,0.09171,0.07465,0.03542,2.34393,1.93364,1.20926,0.000501942,0.000501942,0.000501942
32,1343.02,2.33914,2.07136,1.22973,0.51288,0.08898,0.07238,0.03478,2.36078,1.99733,1.21513,0.000494873,0.000494873,0.000494873
33,1384.2,2.27933,2.03403,1.2145,0.4973,0.09126,0.07337,0.03528,2.30753,1.94149,1.20798,0.000487805,0.000487805,0.000487805
34,1425.8,2.28233,2.02231,1.21016,0.39148,0.08873,0.07048,0.03394,2.38026,2.0274,1.21764,0.000480736,0.000480736,0.000480736
35,1467.45,2.27315,1.99604,1.2019,0.50119,0.09745,0.07565,0.03681,2.29815,1.96859,1.20643,0.000473668,0.000473668,0.000473668
36,1508.66,2.26291,2.0044,1.20471,0.40487,0.09854,0.08012,0.03866,2.30473,1.92036,1.19382,0.000466599,0.000466599,0.000466599
37,1550.15,2.27969,1.99428,1.19705,0.33589,0.10241,0.08026,0.03936,2.27686,1.88697,1.20124,0.00045953,0.00045953,0.00045953
38,1591.46,2.25273,2.00349,1.19044,0.32266,0.10139,0.07985,0.03836,2.26831,1.87619,1.1821,0.000452462,0.000452462,0.000452462
39,1633.03,2.25533,1.99016,1.19283,0.50307,0.09737,0.08081,0.03886,2.2444,1.87328,1.1945,0.000445393,0.000445393,0.000445393
40,1674.54,2.23323,1.98725,1.19284,0.23082,0.10802,0.08305,0.0419,2.24204,1.84592,1.18911,0.000438325,0.000438325,0.000438325
41,1715.97,2.22013,1.97523,1.18136,0.20789,0.10122,0.08257,0.04075,2.23171,1.85585,1.17115,0.000431256,0.000431256,0.000431256
42,1757.53,2.21846,1.95913,1.18124,0.40774,0.10023,0.08277,0.04105,2.19713,1.86406,1.18955,0.000424187,0.000424187,0.000424187
43,1798.93,2.18203,1.92377,1.17172,0.33948,0.09231,0.07965,0.03964,2.23884,1.84529,1.19026,0.000417119,0.000417119,0.000417119
44,1840.54,2.17447,1.90948,1.16749,0.40439,0.10236,0.08353,0.03972,2.23854,1.83909,1.1681,0.00041005,0.00041005,0.00041005
45,1882.15,2.17794,1.90434,1.16664,0.21227,0.10669,0.0863,0.04131,2.27101,1.86202,1.17563,0.000402982,0.000402982,0.000402982
46,1923.66,2.21003,1.94036,1.17485,0.20961,0.1088,0.08422,0.0409,2.19487,1.7846,1.1687,0.000395913,0.000395913,0.000395913
47,1965.46,2.17551,1.88843,1.16044,0.31257,0.11111,0.08938,0.04426,2.18163,1.79068,1.16157,0.000388844,0.000388844,0.000388844
48,2007.09,2.15788,1.88866,1.16137,0.42878,0.09941,0.09042,0.04423,2.22913,1.79994,1.16962,0.000381776,0.000381776,0.000381776
49,2048.07,2.18541,1.90017,1.15981,0.239,0.10896,0.09126,0.04469,2.20913,1.81104,1.16453,0.000374707,0.000374707,0.000374707
50,2089.68,2.14658,1.89093,1.16122,0.24705,0.10937,0.08927,0.04527,2.17271,1.78017,1.15921,0.000367639,0.000367639,0.000367639
51,2131.06,2.14097,1.86918,1.15412,0.23464,0.10876,0.08977,0.04466,2.21121,1.79198,1.16322,0.00036057,0.00036057,0.00036057
52,2172.21,2.1389,1.86103,1.1446,0.2276,0.12152,0.09201,0.04581,2.18921,1.77958,1.15387,0.000353501,0.000353501,0.000353501
53,2213.7,2.11927,1.84705,1.15347,0.22156,0.11722,0.08927,0.04396,2.16793,1.77357,1.15961,0.000346433,0.000346433,0.000346433
54,2255.06,2.12885,1.84813,1.14939,0.22938,0.11767,0.08886,0.04363,2.16175,1.77718,1.16281,0.000339364,0.000339364,0.000339364
55,2296.93,2.13427,1.85654,1.14858,0.22542,0.11244,0.09325,0.04649,2.16901,1.74993,1.14759,0.000332296,0.000332296,0.000332296
56,2338.5,2.11102,1.83137,1.13941,0.23361,0.11509,0.09684,0.04762,2.16977,1.72839,1.14837,0.000325227,0.000325227,0.000325227
57,2380.17,2.09349,1.81062,1.1332,0.22789,0.12128,0.09512,0.04787,2.16904,1.73796,1.14802,0.000318158,0.000318158,0.000318158
58,2421.38,2.1111,1.83642,1.13839,0.22593,0.11495,0.09306,0.04685,2.16184,1.72765,1.14699,0.00031109,0.00031109,0.00031109
59,2462.84,2.09769,1.8072,1.13776,0.22272,0.12046,0.09823,0.0491,2.16706,1.75595,1.14442,0.000304021,0.000304021,0.000304021
60,2503.84,2.106,1.82281,1.13847,0.23522,0.12234,0.09747,0.04959,2.14227,1.71572,1.14233,0.000296953,0.000296953,0.000296953
61,2544.7,2.09928,1.80037,1.13332,0.14528,0.12542,0.09576,0.04822,2.13851,1.72039,1.14155,0.000289884,0.000289884,0.000289884
62,2586.2,2.08508,1.78947,1.13225,0.23519,0.12676,0.09927,0.04999,2.12433,1.70046,1.13736,0.000282815,0.000282815,0.000282815
63,2627.09,2.08089,1.79649,1.12656,0.22741,0.13008,0.09762,0.04947,2.12365,1.69628,1.13857,0.000275747,0.000275747,0.000275747
