epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7417,5.01543,4.84086,3.93836,0.61357,0.0099,0.00361,0.00089,4.07628,3.03108,3.17619,0.000236898,0.000236898,0.000236898
2,74.6413,3.73498,3.20183,2.7068,0.51296,0.01321,0.0084,0.00246,3.63141,2.87797,2.3071,0.000470197,0.000470197,0.000470197
3,108.727,3.35947,2.81393,2.12745,0.62437,0.02491,0.02163,0.00747,3.16687,2.68315,1.86162,0.000698783,0.000698783,0.000698783
4,142.989,3.05926,2.55369,1.85237,0.02613,0.08706,0.0356,0.01336,2.99491,2.40761,1.69005,0.000692794,0.000692794,0.000692794
5,176.829,2.84565,2.412,1.70725,0.37164,0.05778,0.04311,0.01728,2.85031,2.31354,1.56996,0.000685726,0.000685726,0.000685726
6,210.576,2.69124,2.29921,1.60948,0.56525,0.06061,0.04361,0.01815,2.69438,2.18093,1.56111,0.000678657,0.000678657,0.000678657
7,244.497,2.60668,2.20627,1.54756,0.51789,0.04764,0.0517,0.02508,2.58355,2.15344,1.48534,0.000671588,0.000671588,0.000671588
8,278.152,2.50423,2.15429,1.4908,0.62647,0.055,0.05626,0.02548,2.53491,2.11191,1.42308,0.00066452,0.00066452,0.00066452
9,311.979,2.41848,2.0436,1.4545,0.40461,0.07314,0.06045,0.02988,2.44276,1.92229,1.40572,0.000657451,0.000657451,0.000657451
10,345.39,2.3679,2.00505,1.42555,0.40476,0.08566,0.06999,0.03488,2.31931,1.92435,1.36059,0.000650383,0.000650383,0.000650383
11,378.944,2.32318,1.9655,1.3835,0.50642,0.08578,0.06579,0.03032,2.36273,1.89602,1.36031,0.000643314,0.000643314,0.000643314
12,412.453,2.26267,1.90269,1.36274,0.49535,0.08491,0.06537,0.03041,2.4322,1.89079,1.35909,0.000636245,0.000636245,0.000636245
13,446.038,2.21492,1.87334,1.33896,0.56418,0.08711,0.07967,0.03928,2.25127,1.80316,1.32658,0.000629177,0.000629177,0.000629177
14,479.888,2.20627,1.85742,1.32266,0.50671,0.0926,0.07085,0.03455,2.35781,1.86624,1.32672,0.000622108,0.000622108,0.000622108
15,513.662,2.11431,1.79025,1.30334,0.43401,0.10111,0.0847,0.04341,2.15981,1.71788,1.27676,0.00061504,0.00061504,0.00061504
16,547.108,2.10203,1.78892,1.29861,0.4121,0.08883,0.0765,0.03835,2.24384,1.83882,1.26675,0.000607971,0.000607971,0.000607971
