epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.05,4.04131,3.77685,2.86452,0.63785,0.03314,0.02394,0.00831,3.04339,2.39657,1.78768,0.00332819,0.00332819,0.00332819
2,704.307,2.77836,2.4333,1.61315,0.30003,0.07833,0.05869,0.02574,2.50888,1.98992,1.38236,0.00659557,0.00659557,0.00659557
3,951.852,2.34232,2.05536,1.3633,0.43264,0.08059,0.07332,0.03423,2.25398,1.87391,1.29096,0.00979696,0.00979696,0.00979696
4,1943.73,2.09123,1.80477,1.24582,0.36721,0.14163,0.1119,0.05726,1.87761,1.5206,1.1625,0.009703,0.009703,0.009703
5,2225.36,1.94339,1.63773,1.18583,0.30502,0.15369,0.13463,0.07056,1.78285,1.39612,1.11503,0.009604,0.009604,0.009604
6,3036.12,1.83968,1.53469,1.14032,0.22299,0.17727,0.14844,0.07826,1.7088,1.33457,1.09446,0.009505,0.009505,0.009505
7,3459.49,1.78428,1.46734,1.12276,0.2675,0.19536,0.17548,0.09535,1.63852,1.26009,1.07101,0.009406,0.009406,0.009406
8,3715.48,1.72912,1.40106,1.10491,0.28056,0.19914,0.17845,0.09658,1.59474,1.23532,1.05668,0.009307,0.009307,0.009307
9,3948.62,1.68896,1.36791,1.09229,0.32409,0.20019,0.19262,0.10446,1.56637,1.20017,1.04915,0.009208,0.009208,0.009208
10,4139.48,1.66185,1.33405,1.08004,0.33646,0.21421,0.19936,0.10812,1.54803,1.18558,1.04308,0.009109,0.009109,0.009109
11,4328.48,1.63505,1.29648,1.06843,0.31189,0.22224,0.20509,0.11261,1.51796,1.16556,1.03028,0.00901,0.00901,0.00901
12,4668.14,1.62249,1.2842,1.06273,0.31989,0.21769,0.21023,0.1169,1.5264,1.16221,1.0269,0.008911,0.008911,0.008911
13,4856,1.63471,1.28165,1.05385,0.338,0.22345,0.21553,0.12078,1.51349,1.16085,1.01482,0.008812,0.008812,0.008812
14,5047.82,1.62028,1.2706,1.048,0.32542,0.23681,0.2232,0.12422,1.50306,1.14118,1.01087,0.008713,0.008713,0.008713
15,5240.24,1.60362,1.24797,1.03626,0.34394,0.25105,0.23584,0.1321,1.48453,1.11909,1.00223,0.008614,0.008614,0.008614
16,5428.06,1.58478,1.23103,1.0315,0.31611,0.24988,0.23134,0.13003,1.4742,1.11575,0.99884,0.008515,0.008515,0.008515
17,5658.82,1.58909,1.23164,1.03192,0.34486,0.24917,0.23931,0.13501,1.4688,1.11052,0.99827,0.008416,0.008416,0.008416
18,5848.08,1.57383,1.21456,1.02679,0.34271,0.25145,0.24252,0.13707,1.44929,1.09952,0.98847,0.008317,0.008317,0.008317
19,6036.1,1.5507,1.19433,1.01628,0.34617,0.25099,0.24491,0.13809,1.44395,1.09072,0.98855,0.008218,0.008218,0.008218
20,6224.39,1.54211,1.18191,1.01292,0.35052,0.25556,0.24716,0.139,1.44731,1.07945,0.98606,0.008119,0.008119,0.008119
21,6551.27,1.52624,1.16986,1.01123,0.35769,0.25659,0.25059,0.1427,1.42823,1.07011,0.98574,0.00802,0.00802,0.00802
22,6739.89,1.52595,1.15774,1.00761,0.36777,0.26076,0.2548,0.14445,1.41883,1.06776,0.98339,0.007921,0.007921,0.007921
23,7046.64,1.50929,1.1489,1.00642,0.35226,0.26773,0.25856,0.14799,1.41251,1.04981,0.98073,0.007822,0.007822,0.007822
24,7331.57,1.50576,1.14255,1.00092,0.37652,0.26767,0.2599,0.14934,1.41072,1.05409,0.97697,0.007723,0.007723,0.007723
25,7520.56,1.50365,1.13864,1.00297,0.38131,0.26892,0.26672,0.15131,1.39669,1.04744,0.9736,0.007624,0.007624,0.007624
26,7713.5,1.49222,1.1295,0.99813,0.37758,0.26917,0.26565,0.15138,1.39065,1.03353,0.97323,0.007525,0.007525,0.007525
27,7901.65,1.49042,1.12034,0.99632,0.37681,0.26914,0.26871,0.15302,1.38719,1.03317,0.96883,0.007426,0.007426,0.007426
28,8097.18,1.48228,1.11441,0.99257,0.37964,0.276,0.27281,0.15618,1.38679,1.0261,0.97034,0.007327,0.007327,0.007327
29,8296.98,1.46744,1.09971,0.99095,0.38601,0.27339,0.27399,0.15824,1.38075,1.01966,0.96947,0.007228,0.007228,0.007228
30,9026.73,1.46185,1.0936,0.98881,0.39215,0.27702,0.27667,0.1591,1.37133,1.01031,0.96842,0.007129,0.007129,0.007129
31,9213.89,1.46483,1.09308,0.98815,0.38015,0.27698,0.27558,0.15732,1.37481,1.01712,0.96631,0.00703,0.00703,0.00703
32,9452.38,1.46031,1.08328,0.98631,0.38332,0.27237,0.27599,0.15856,1.36117,1.01281,0.96489,0.006931,0.006931,0.006931
33,9643.96,1.44605,1.07765,0.98501,0.373,0.28869,0.28056,0.16084,1.35713,1.00173,0.96096,0.006832,0.006832,0.006832
34,9841.92,1.44918,1.07412,0.98157,0.39456,0.28936,0.28587,0.16516,1.34602,0.99125,0.9593,0.006733,0.006733,0.006733
35,10030.1,1.44063,1.06185,0.98163,0.39114,0.28589,0.28457,0.16514,1.35038,0.9898,0.96046,0.006634,0.006634,0.006634
