epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8741,4.99079,5.14121,3.84288,0.60932,0.01316,0.00323,0.00086,3.96057,3.38338,2.75349,0.000236898,0.000236898,0.000236898
2,108.37,3.64665,3.24404,2.3679,0.12792,0.02478,0.01243,0.00411,3.394,2.96797,1.99134,0.000470197,0.000470197,0.000470197
3,157.819,3.2134,2.7741,1.94294,0.53417,0.04376,0.0259,0.00982,2.94076,2.494,1.71576,0.000698783,0.000698783,0.000698783
4,207.307,2.89173,2.50454,1.71461,0.77282,0.03081,0.036,0.0144,2.88284,2.399,1.57092,0.000692794,0.000692794,0.000692794
5,257.19,2.69503,2.36077,1.58626,0.7927,0.03522,0.04625,0.01977,2.65858,2.28823,1.50154,0.000685726,0.000685726,0.000685726
6,306.157,2.5561,2.26252,1.51607,0.48143,0.06276,0.04857,0.02013,2.57028,2.17366,1.46974,0.000678657,0.000678657,0.000678657
7,355.473,2.48444,2.17857,1.46312,0.38853,0.079,0.05501,0.02607,2.47454,2.07123,1.41533,0.000671588,0.000671588,0.000671588
8,403.65,2.38288,2.11397,1.41367,0.48624,0.07686,0.0592,0.02912,2.39852,2.01594,1.38049,0.00066452,0.00066452,0.00066452
9,452.528,2.31423,2.02697,1.38646,0.46915,0.0817,0.06148,0.02958,2.38387,1.94834,1.34838,0.000657451,0.000657451,0.000657451
10,501.229,2.27708,1.98705,1.36298,0.50494,0.0865,0.06696,0.03353,2.32997,1.91266,1.31355,0.000650383,0.000650383,0.000650383
11,550.078,2.23036,1.93533,1.32575,0.51071,0.09947,0.06821,0.03283,2.26191,1.90598,1.29869,0.000643314,0.000643314,0.000643314
12,598.655,2.1946,1.90052,1.31635,0.50068,0.0916,0.06706,0.03351,2.31731,1.89491,1.28837,0.000636245,0.000636245,0.000636245
13,647.405,2.13353,1.85302,1.28791,0.52777,0.09992,0.07784,0.03902,2.19683,1.78942,1.27642,0.000629177,0.000629177,0.000629177
14,696.539,2.12803,1.84473,1.27668,0.52766,0.10797,0.08614,0.04405,2.15899,1.8313,1.24861,0.000622108,0.000622108,0.000622108
15,745.651,2.055,1.79503,1.25849,0.43765,0.10603,0.08539,0.04371,2.13858,1.71759,1.26041,0.00061504,0.00061504,0.00061504
16,794.487,2.06356,1.79447,1.26227,0.53712,0.09082,0.08033,0.04169,2.19388,1.80698,1.25009,0.000607971,0.000607971,0.000607971
17,842.856,2.05981,1.76752,1.23915,0.41662,0.10723,0.08758,0.04629,2.15637,1.74321,1.23483,0.000600902,0.000600902,0.000600902
18,891.737,2.04416,1.77318,1.23916,0.42576,0.11313,0.09158,0.0467,2.16316,1.70784,1.25108,0.000593834,0.000593834,0.000593834
19,940.181,2.04795,1.74899,1.22749,0.44978,0.10324,0.09129,0.04748,2.1153,1.70239,1.21568,0.000586765,0.000586765,0.000586765
20,988.463,1.99972,1.73219,1.22395,0.51455,0.12121,0.1007,0.05336,2.05673,1.65328,1.19975,0.000579697,0.000579697,0.000579697
21,1036.95,1.98056,1.68671,1.21989,0.38121,0.11811,0.10104,0.05553,2.05368,1.66873,1.21122,0.000572628,0.000572628,0.000572628
22,1085.47,1.95498,1.67829,1.19405,0.41657,0.12801,0.09754,0.05033,2.07847,1.66643,1.20386,0.000565559,0.000565559,0.000565559
23,1133.89,1.9533,1.64664,1.18497,0.48463,0.12422,0.11039,0.05996,2.04853,1.61795,1.19422,0.000558491,0.000558491,0.000558491
24,1182.31,1.94002,1.64257,1.1816,0.45554,0.13265,0.10631,0.05873,2.01161,1.59014,1.17682,0.000551422,0.000551422,0.000551422
25,1230.53,1.91711,1.62844,1.17527,0.44973,0.13105,0.10985,0.05868,2.01775,1.5866,1.18608,0.000544354,0.000544354,0.000544354
26,1279.07,1.94438,1.6195,1.18211,0.34941,0.1392,0.11138,0.0609,2.00065,1.57044,1.17555,0.000537285,0.000537285,0.000537285
27,1327.75,1.92281,1.62451,1.17016,0.36565,0.13414,0.11598,0.06363,2.01217,1.56401,1.16282,0.000530216,0.000530216,0.000530216
28,1376.33,1.90318,1.59701,1.15127,0.47195,0.13841,0.11041,0.06021,2.01583,1.61181,1.17588,0.000523148,0.000523148,0.000523148
29,1425.35,1.93144,1.61494,1.15948,0.35379,0.1549,0.11991,0.0648,1.97935,1.53239,1.16336,0.000516079,0.000516079,0.000516079
30,1473.92,1.87974,1.59079,1.15673,0.37436,0.1444,0.12087,0.06599,2.00964,1.57257,1.17148,0.000509011,0.000509011,0.000509011
31,1522.95,1.88705,1.56627,1.14921,0.34045,0.15864,0.12287,0.06653,1.9713,1.53746,1.14967,0.000501942,0.000501942,0.000501942
32,1571.05,1.88377,1.573,1.15597,0.26428,0.15019,0.12273,0.06519,1.97331,1.55172,1.15911,0.000494873,0.000494873,0.000494873
33,1619.65,1.84713,1.54723,1.14513,0.37062,0.14558,0.12481,0.06904,1.95661,1.50777,1.15011,0.000487805,0.000487805,0.000487805
34,1668.82,1.84675,1.54166,1.13634,0.39892,0.16557,0.13206,0.07357,1.92874,1.49384,1.1395,0.000480736,0.000480736,0.000480736
35,1717.6,1.83661,1.51196,1.12822,0.38963,0.15469,0.12858,0.0702,1.94746,1.52063,1.13801,0.000473668,0.000473668,0.000473668
36,1766.16,1.83982,1.52052,1.13168,0.38948,0.16169,0.1314,0.07257,1.92053,1.4969,1.13805,0.000466599,0.000466599,0.000466599
37,1814.72,1.83825,1.51258,1.12372,0.43322,0.1593,0.13433,0.07215,1.92762,1.49312,1.13476,0.00045953,0.00045953,0.00045953
38,1863.55,1.82959,1.5288,1.12341,0.37601,0.16463,0.12865,0.06844,1.93644,1.50226,1.13467,0.000452462,0.000452462,0.000452462
39,1912.7,1.83101,1.51534,1.12277,0.39223,0.16154,0.13615,0.07464,1.89994,1.47662,1.12112,0.000445393,0.000445393,0.000445393
40,1961.4,1.82819,1.51574,1.13136,0.2613,0.17012,0.13374,0.07237,1.89793,1.48445,1.12224,0.000438325,0.000438325,0.000438325
41,2009.95,1.82157,1.50784,1.1181,0.28753,0.166,0.13871,0.07656,1.92026,1.46762,1.12421,0.000431256,0.000431256,0.000431256
42,2059.15,1.82576,1.49606,1.12255,0.36512,0.18572,0.13735,0.07508,1.87706,1.46137,1.11514,0.000424187,0.000424187,0.000424187
43,2107.65,1.76992,1.46297,1.10721,0.29068,0.17782,0.14377,0.07974,1.89393,1.44396,1.12478,0.000417119,0.000417119,0.000417119
44,2156.95,1.75949,1.45141,1.10322,0.39089,0.16973,0.13941,0.07535,1.90787,1.47222,1.11614,0.00041005,0.00041005,0.00041005
45,2205.43,1.77065,1.44983,1.10602,0.37463,0.16869,0.14017,0.07673,1.86283,1.44947,1.11795,0.000402982,0.000402982,0.000402982
46,2254.43,1.79959,1.48481,1.10831,0.37879,0.16745,0.13922,0.07678,1.88509,1.45104,1.10847,0.000395913,0.000395913,0.000395913
47,2303.58,1.76931,1.44159,1.09595,0.41212,0.16138,0.13985,0.07718,1.8822,1.44777,1.11401,0.000388844,0.000388844,0.000388844
48,2352.44,1.74464,1.43251,1.09993,0.31276,0.17214,0.14464,0.07795,1.88527,1.43722,1.10529,0.000381776,0.000381776,0.000381776
49,2401.17,1.77593,1.44805,1.09574,0.2048,0.18192,0.15005,0.08364,1.8443,1.42731,1.10266,0.000374707,0.000374707,0.000374707
50,2450.6,1.75909,1.44748,1.10393,0.21215,0.16693,0.14624,0.08221,1.85227,1.45122,1.09982,0.000367639,0.000367639,0.000367639
51,2499.57,1.75309,1.42535,1.09332,0.2918,0.17569,0.1505,0.08332,1.85359,1.41639,1.10488,0.00036057,0.00036057,0.00036057
52,2548.65,1.73993,1.41541,1.08569,0.3054,0.17404,0.14905,0.08263,1.84031,1.41262,1.09677,0.000353501,0.000353501,0.000353501
53,2599.52,1.72468,1.40352,1.09401,0.32939,0.18095,0.15437,0.08597,1.85583,1.41241,1.1103,0.000346433,0.000346433,0.000346433
54,2648.38,1.73336,1.39783,1.0896,0.41421,0.18195,0.15891,0.08819,1.81682,1.41019,1.09787,0.000339364,0.000339364,0.000339364
55,2697.33,1.73131,1.4047,1.08718,0.29633,0.18316,0.15119,0.0849,1.84049,1.39703,1.1024,0.000332296,0.000332296,0.000332296
56,2746.21,1.72893,1.39746,1.08499,0.33897,0.18391,0.15592,0.08727,1.83306,1.39897,1.09939,0.000325227,0.000325227,0.000325227
57,2795.22,1.70873,1.37749,1.07627,0.40366,0.17905,0.15696,0.08867,1.84626,1.39368,1.1098,0.000318158,0.000318158,0.000318158
58,2843.84,1.72854,1.40345,1.08247,0.33023,0.1693,0.15765,0.08755,1.82759,1.39535,1.09268,0.00031109,0.00031109,0.00031109
59,2892.53,1.71144,1.37634,1.0809,0.20273,0.19073,0.15954,0.08915,1.81296,1.38499,1.09103,0.000304021,0.000304021,0.000304021
60,2941.47,1.71317,1.37565,1.0814,0.19878,0.18226,0.15395,0.08778,1.82362,1.39119,1.09333,0.000296953,0.000296953,0.000296953
61,2990.93,1.70359,1.36966,1.0721,0.22276,0.18794,0.15635,0.0886,1.79981,1.37624,1.08494,0.000289884,0.000289884,0.000289884
62,3040.33,1.69957,1.35861,1.07856,0.42903,0.18838,0.1628,0.0912,1.78857,1.35667,1.08266,0.000282815,0.000282815,0.000282815
63,3089.71,1.70262,1.36604,1.07209,0.32236,0.18676,0.16443,0.09221,1.79357,1.36589,1.08989,0.000275747,0.000275747,0.000275747
64,3139.01,1.68325,1.35153,1.07396,0.44402,0.18561,0.1627,0.08965,1.78051,1.35932,1.08278,0.000268678,0.000268678,0.000268678
65,3188.27,1.69954,1.35855,1.07717,0.25485,0.20806,0.16984,0.09414,1.77909,1.37253,1.07547,0.00026161,0.00026161,0.00026161
66,3237.75,1.65656,1.31977,1.06137,0.31251,0.1928,0.16695,0.09291,1.78987,1.36242,1.07931,0.000254541,0.000254541,0.000254541
67,3287.08,1.66594,1.33285,1.07136,0.44699,0.18275,0.17123,0.09681,1.79628,1.34591,1.08627,0.000247472,0.000247472,0.000247472
68,3336.21,1.68941,1.34693,1.06648,0.3152,0.19428,0.16847,0.09541,1.80097,1.35744,1.09044,0.000240404,0.000240404,0.000240404
69,3385.83,1.68908,1.35045,1.06502,0.31255,0.1862,0.16467,0.09131,1.78471,1.35915,1.08321,0.000233335,0.000233335,0.000233335
70,3435.16,1.65513,1.31522,1.05611,0.41764,0.19495,0.1721,0.09589,1.78505,1.34766,1.08184,0.000226267,0.000226267,0.000226267
71,3484.92,1.67708,1.33385,1.06656,0.33498,0.19216,0.16841,0.09526,1.78334,1.34185,1.07966,0.000219198,0.000219198,0.000219198
72,3534.37,1.66631,1.31849,1.05898,0.4663,0.18302,0.17151,0.0935,1.80543,1.36068,1.08768,0.000212129,0.000212129,0.000212129
73,3583.76,1.68437,1.33098,1.0586,0.35871,0.18753,0.17064,0.0961,1.77596,1.33927,1.08781,0.000205061,0.000205061,0.000205061
74,3632.18,1.66405,1.31344,1.06637,0.44791,0.19367,0.17479,0.09727,1.7718,1.33932,1.08149,0.000197992,0.000197992,0.000197992
75,3681.1,1.65548,1.32245,1.06237,0.3514,0.18876,0.17311,0.0959,1.77406,1.3274,1.07768,0.000190924,0.000190924,0.000190924
76,3729.88,1.67212,1.31512,1.05777,0.38542,0.18992,0.17751,0.09831,1.77744,1.34696,1.0813,0.000183855,0.000183855,0.000183855
77,3778.7,1.64904,1.30145,1.05567,0.4284,0.19494,0.17151,0.09765,1.76832,1.33446,1.07538,0.000176786,0.000176786,0.000176786
78,3827.35,1.66049,1.30934,1.06034,0.33578,0.19636,0.17177,0.09768,1.75309,1.31586,1.07521,0.000169718,0.000169718,0.000169718
79,3876.25,1.64613,1.30384,1.05502,0.35866,0.18404,0.17448,0.09656,1.76711,1.33076,1.07757,0.000162649,0.000162649,0.000162649
80,3925.25,1.66005,1.30529,1.06318,0.35098,0.19211,0.17379,0.09524,1.77834,1.34118,1.07966,0.000155581,0.000155581,0.000155581
81,3974.52,1.64715,1.29595,1.0493,0.44924,0.19258,0.17453,0.09681,1.76432,1.32348,1.07314,0.000148512,0.000148512,0.000148512
82,4023.5,1.64338,1.28651,1.04936,0.3483,0.19597,0.17569,0.09889,1.76997,1.3255,1.08193,0.000141443,0.000141443,0.000141443
83,4072.43,1.64315,1.29154,1.05217,0.39641,0.19607,0.17779,0.10005,1.74937,1.312,1.07137,0.000134375,0.000134375,0.000134375
84,4121.29,1.6532,1.29831,1.04892,0.43622,0.19124,0.17377,0.098,1.75227,1.32281,1.07016,0.000127306,0.000127306,0.000127306
85,4169.89,1.6077,1.26441,1.04746,0.45702,0.19216,0.17789,0.09888,1.76061,1.32458,1.07463,0.000120238,0.000120238,0.000120238
86,4219.03,1.64511,1.29505,1.04467,0.37713,0.20115,0.17955,0.10116,1.76485,1.31873,1.07509,0.000113169,0.000113169,0.000113169
87,4267.86,1.64261,1.27736,1.04699,0.34727,0.20243,0.18199,0.10331,1.74383,1.30975,1.06932,0.0001061,0.0001061,0.0001061
88,4316.82,1.60872,1.26197,1.03823,0.35249,0.19869,0.18076,0.10313,1.73966,1.30981,1.06647,9.90318e-05,9.90318e-05,9.90318e-05
89,4365.46,1.63612,1.28998,1.04625,0.40705,0.19221,0.17907,0.09964,1.74802,1.31546,1.06869,9.19632e-05,9.19632e-05,9.19632e-05
90,4413.97,1.61215,1.25401,1.045,0.35563,0.19422,0.18217,0.10423,1.74372,1.30615,1.07097,8.48946e-05,8.48946e-05,8.48946e-05
91,4497.13,1.60553,1.28445,1.05453,0.35562,0.19609,0.1791,0.10011,1.76528,1.33387,1.07273,7.7826e-05,7.7826e-05,7.7826e-05
92,4545.09,1.59381,1.25715,1.04575,0.33447,0.19401,0.1732,0.09693,1.76047,1.32057,1.06724,7.07574e-05,7.07574e-05,7.07574e-05
93,4593.15,1.58204,1.24016,1.04605,0.34007,0.20167,0.17617,0.10085,1.74464,1.3041,1.06618,6.36888e-05,6.36888e-05,6.36888e-05
94,4641.59,1.56142,1.23049,1.04639,0.37908,0.20251,0.18241,0.10213,1.75205,1.30904,1.0715,5.66202e-05,5.66202e-05,5.66202e-05
95,4689.64,1.56292,1.22456,1.04254,0.36267,0.19405,0.18234,0.10248,1.75438,1.3109,1.07147,4.95516e-05,4.95516e-05,4.95516e-05
96,4737.45,1.56116,1.21988,1.05008,0.34578,0.20856,0.18242,0.10275,1.75252,1.30796,1.07486,4.2483e-05,4.2483e-05,4.2483e-05
97,4785.41,1.56329,1.22452,1.04505,0.32726,0.21107,0.18259,0.10254,1.74765,1.30521,1.06674,3.54144e-05,3.54144e-05,3.54144e-05
98,4833.35,1.56405,1.21979,1.044,0.32747,0.20311,0.1825,0.10277,1.74395,1.29985,1.0639,2.83458e-05,2.83458e-05,2.83458e-05
99,4881.42,1.56938,1.22721,1.03956,0.2275,0.20854,0.18343,0.1028,1.75387,1.30187,1.0694,2.12772e-05,2.12772e-05,2.12772e-05
100,4929.97,1.56488,1.21475,1.0395,0.36805,0.20916,0.18424,0.10274,1.74479,1.30333,1.06852,1.42086e-05,1.42086e-05,1.42086e-05
