epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.546,4.38868,4.24845,3.19289,0.72666,0.02431,0.02294,0.00799,3.09367,2.52464,1.85084,0.00332921,0.00332921,0.00332921
2,335.755,2.71428,2.42604,1.61248,0.50901,0.06933,0.06286,0.02934,2.31515,1.95671,1.36204,0.00659659,0.00659659,0.00659659
3,487.969,2.2778,2.02886,1.34769,0.46064,0.11449,0.09449,0.0476,1.97621,1.66843,1.22406,0.00979796,0.00979796,0.00979796
4,634.531,2.05615,1.80915,1.24014,0.30434,0.13078,0.11135,0.05872,1.83451,1.51871,1.16403,0.009703,0.009703,0.009703
5,781.218,1.91411,1.6452,1.17688,0.42232,0.16039,0.13968,0.075,1.704,1.39682,1.10922,0.009604,0.009604,0.009604
6,933.395,1.84145,1.55043,1.14399,0.44124,0.17897,0.16053,0.08678,1.62997,1.31827,1.08186,0.009505,0.009505,0.009505
7,1080.6,1.76183,1.46874,1.11874,0.35829,0.18856,0.17076,0.09208,1.62024,1.26908,1.07582,0.009406,0.009406,0.009406
8,1228.17,1.71581,1.41402,1.10447,0.27681,0.18881,0.18183,0.1,1.57603,1.23382,1.06711,0.009307,0.009307,0.009307
9,1376.25,1.66484,1.35621,1.08988,0.28476,0.20674,0.19488,0.10594,1.55383,1.19512,1.04603,0.009208,0.009208,0.009208
10,1522.9,1.62502,1.31188,1.07557,0.3927,0.21685,0.20648,0.11453,1.52012,1.15732,1.04089,0.009109,0.009109,0.009109
11,1669.77,1.60774,1.28281,1.06382,0.29109,0.22101,0.20217,0.11289,1.49071,1.16066,1.02983,0.00901,0.00901,0.00901
12,1816.08,1.5879,1.2668,1.05997,0.29441,0.22442,0.21438,0.12237,1.47285,1.13232,1.02639,0.008911,0.008911,0.008911
13,1961.91,1.57436,1.24497,1.05084,0.31765,0.24043,0.22252,0.12645,1.45481,1.10996,1.01594,0.008812,0.008812,0.008812
14,2108.46,1.55574,1.22521,1.04312,0.33453,0.23428,0.23216,0.13327,1.45942,1.10576,1.00975,0.008713,0.008713,0.008713
15,2254.68,1.56821,1.22501,1.0343,0.33409,0.25237,0.24337,0.13975,1.45701,1.10013,1.00668,0.008614,0.008614,0.008614
16,2400.37,1.55068,1.2115,1.03075,0.33862,0.25653,0.24196,0.13891,1.443,1.09685,1.00002,0.008515,0.008515,0.008515
17,2546,1.53673,1.20298,1.02265,0.34061,0.25349,0.24191,0.13946,1.42912,1.0799,0.99148,0.008416,0.008416,0.008416
18,2691.92,1.52294,1.18229,1.01549,0.34168,0.25006,0.2474,0.14216,1.41548,1.08064,0.98808,0.008317,0.008317,0.008317
19,2837.73,1.51096,1.17781,1.01445,0.35852,0.25674,0.25323,0.14655,1.4117,1.0694,0.98389,0.008218,0.008218,0.008218
20,2983.66,1.49862,1.16173,1.00637,0.33605,0.26608,0.25052,0.14496,1.40438,1.06079,0.98084,0.008119,0.008119,0.008119
21,3130.12,1.50098,1.15352,1.0054,0.35213,0.26912,0.25855,0.15115,1.38843,1.04965,0.98132,0.00802,0.00802,0.00802
22,3275.8,1.48201,1.13064,1.00045,0.34988,0.27627,0.26374,0.15284,1.37648,1.03442,0.97608,0.007921,0.007921,0.007921
